name,price,type,color,psu,side_panel,external_volume,internal_35_bays
Montech XR,83.59,ATX Mid Tower,Black,,Tempered Glass,45,2
Phanteks XT PRO,67.98,ATX Mid Tower,Black,,Tempered Glass,51.8,2
NZXT H5 Flow (2024),84.99,ATX Mid Tower,Black,,Tempered Glass,45,1
Corsair 3500X ARGB,115.99,ATX Mid Tower,White,,Tempered Glass,55.9,2
Cooler Master MasterBox Q300L,45.98,MicroATX Mini Tower,Black,,Acrylic,33.6,1
Corsair 4000D Airflow,94.99,ATX Mid Tower,Black,,Tinted Tempered Glass,48.6,2
Lian Li Lancool 207,81.99,ATX Mid Tower,Blue,,Tempered Glass,45.5,2
NZXT H9 Flow (2023),119.99,ATX Mid Tower,Black,,Tempered Glass,66.9,2
Lian Li O11 VISION COMPACT,124.99,ATX Mid Tower,White,,Tempered Glass,57.4,2
Corsair 3500X ARGB,115.99,ATX Mid Tower,Black,,Tempered Glass,55.9,2
Montech AIR 100 ARGB,69.9,MicroATX Mid Tower,Black,,Tempered Glass,36.1,2
Montech AIR 903 MAX,74.99,ATX Mid Tower,Black,,Tempered Glass,54.2,2
Lian Li A3-mATX,72.98,MicroATX Mini Tower,Black,,Mesh,26.3,1
Fractal Design North,139.99,ATX Mid Tower,Black,,Tempered Glass,45.1,2
HYTE Y70 Touch Infinite,439.95,ATX Mid Tower,White,,Tempered Glass,70.7,2
Fractal Design North XL,179.99,ATX Full Tower,Black,,Tinted Tempered Glass,61.4,2
Lian Li O11 VISION COMPACT,124.99,ATX Mid Tower,Black,,Tempered Glass,57.4,2
NZXT H5 Flow (2024),59.99,ATX Mid Tower,White,,Tempered Glass,45,1
Lian Li A3-mATX,89.99,MicroATX Mini Tower,Black / Brown,,Mesh,26.3,1
Phanteks XT PRO ULTRA,80.98,ATX Mid Tower,Black,,Tempered Glass,51.8,2
NZXT H9 Flow (2023),99.99,ATX Mid Tower,White,,Tempered Glass,66.9,2
Montech XR,79.89,ATX Mid Tower,White,,Tempered Glass,45,2
Lian Li O11D EVO RGB,159.99,ATX Mid Tower,Black,,Tempered Glass,65.3,4
NZXT H6 Flow,109.97,ATX Mid Tower,Black,,Tempered Glass,51.8,1
Montech AIR 903 BASE,64.98,ATX Mid Tower,Black,,Tempered Glass,54.2,2
HYTE Y70 Touch Infinite,564.4,ATX Mid Tower,Black,,Tempered Glass,70.7,2
NZXT H6 Flow,89.97,ATX Mid Tower,White,,Tempered Glass,51.8,1
Corsair FRAME 4000D RS ARGB,104.99,ATX Mid Tower,Black,,Tempered Glass,56.7,2
NZXT H3 Flow,69.98,MicroATX Mid Tower,Black,,Tinted Tempered Glass,35,1
Fractal Design Terra,179.99,Mini ITX Desktop,Black / Brown,,Mesh,11.4,0
Antec C5 ARGB,114.99,ATX Mid Tower,Black,,Tempered Glass,,1
Fractal Design Pop XL Air,119.97,ATX Full Tower,Black,,Tempered Glass,62.4,3
Lian Li LANCOOL 217,127.5,ATX Mid Tower,Black / Brown,,Tempered Glass,57.7,1
