name,price,image,boost_clock,core_clock,core_count,integrated_graphics,microarchitecture,tdp
AMD Ryzen 5 7600X,147.47,thumbnails/cpu_amd_ryzen_5_7600x.jpg,5.3,4.7,6,Radeon,Zen 4,105
AMD Ryzen 7 9800X3D,357,thumbnails/cpu_amd_ryzen_7_9800x3d.jpg,5.2,4.7,8,Radeon,Zen 5,120
AMD Ryzen 7 7800X3D,295,thumbnails/cpu_amd_ryzen_7_7800x3d.jpg,5,4.2,8,Radeon,Zen 4,120
AMD Ryzen 5 9600X,150,thumbnails/cpu_amd_ryzen_5_9600x.jpg,5.4,3.9,6,Radeon,Zen 5,65
AMD Ryzen 9 9950X3D,519,thumbnails/cpu_amd_ryzen_9_9950x3d.jpg,5.7,4.3,16,Radeon,Zen 5,170
AMD Ryzen 7 7700X,196,thumbnails/cpu_amd_ryzen_7_7700x.jpg,5.4,4.5,8,Radeon,Zen 4,105
AMD Ryzen 7 9850X3D,398.95,thumbnails/cpu_amd_ryzen_7_9850x3d.jpg,5.6,4.7,8,Radeon,Zen 5,120
AMD Ryzen 7 9700X,249.98,thumbnails/cpu_amd_ryzen_7_9700x.jpg,5.5,3.8,8,Radeon,Zen 5,65
AMD Ryzen 9 9950X3D2,776.96,thumbnails/cpu_amd_ryzen_9_9950x3d2.jpg,5.6,4.3,16,Radeon,Zen 5,200
AMD Ryzen 5 7500F,117.72,thumbnails/cpu_amd_ryzen_5_7500f.jpg,5,3.7,6,None,Zen 4,65
AMD Ryzen 9 9900X,304.01,thumbnails/cpu_amd_ryzen_9_9900x.jpg,5.6,4.4,12,Radeon,Zen 5,120
AMD Ryzen 5 7500X3D,196.99,thumbnails/cpu_amd_ryzen_5_7500x3d.jpg,4.5,4,6,Radeon,Zen 4,65
AMD Ryzen 5 7600,160.97,thumbnails/cpu_amd_ryzen_5_7600.jpg,5.1,3.8,6,Radeon,Zen 4,65
AMD Ryzen 9 9950X,444.99,thumbnails/cpu_amd_ryzen_9_9950x.jpg,5.7,4.3,16,Radeon,Zen 5,170
AMD Ryzen 9 7900X,269.99,thumbnails/cpu_amd_ryzen_9_7900x.jpg,5.6,4.7,12,Radeon,Zen 4,170
AMD Ryzen 5 7600X3D,319.99,thumbnails/cpu_amd_ryzen_5_7600x3d.jpg,4.7,4.1,6,Radeon,Zen 4,65
AMD Ryzen 5 8500G,119.99,thumbnails/cpu_amd_ryzen_5_8500g.jpg,5,4.1,6,Radeon 740M,Zen 4,65
AMD Ryzen 9 9900X3D,438.9,thumbnails/cpu_amd_ryzen_9_9900x3d.jpg,5.5,4.4,12,Radeon,Zen 5,120
