name,price,image,boost_clock,chipset,color,core_clock,length,memory
Asus DUAL OC,289.99,https://cdna.pcpartpicker.com/static/forever/images/product/67d42e78c9d3161b95b1e8290cdd4f20.256p.jpg,2632,GeForce RTX 5060 Ti,Black / Silver,2410,229,8
Gigabyte GAMING OC,399.99,https://cdna.pcpartpicker.com/static/forever/images/product/7286e3994f72346993fa78135c86ddbe.256p.jpg,3320,Radeon RX 9060 XT,Black,2220,281,16
Gigabyte WINDFORCE OC,303.94,https://cdna.pcpartpicker.com/static/forever/images/product/c17472cd578b7847c10089750b161a2f.256p.jpg,,GeForce RTX 5060,Black,2280,199,8
Gigabyte WINDFORCE OC SFF,579.99,https://cdna.pcpartpicker.com/static/forever/images/product/01f288f2abde496dcb1620b0da58df50.256p.jpg,2542,GeForce RTX 5070,Black,2160,282,12
Asus ROG Astral OC,3499.99,https://cdna.pcpartpicker.com/static/forever/images/product/0c61adf68593e6468e8391b21dd9f9cb.256p.jpg,2610,GeForce RTX 5090,Black / Silver,2010,358,32
MSI SHADOW 3X OC,902.67,https://cdna.pcpartpicker.com/static/forever/images/product/d91d1da465afdceccb1152763b266b4a.256p.jpg,2497,GeForce RTX 5070 Ti,Black,2300,303,16
PNY VCNRTXPRO6000B-PB,,https://cdna.pcpartpicker.com/static/forever/images/product/50d4f045518f00ccb436257abe54df4e.256p.jpg,,RTX PRO 6000 Blackwell,Black,1590,305,96
PNY OC,1099.99,https://cdna.pcpartpicker.com/static/forever/images/product/4fbe161d8b3204734dc5c964dc5443e4.256p.jpg,2730,GeForce RTX 5080,Black,2300,329,16
ASRock Challenger OC,262.99,https://cdna.pcpartpicker.com/static/forever/images/product/8bb6435d826d9299772411dfe3cec371.256p.jpg,2740,Arc B580,Black,2670,249,12
XFX Swift OC,399,https://cdna.pcpartpicker.com/static/forever/images/product/9b657567d4667df090b3e052d6938df7.256p.jpg,3320,Radeon RX 9060 XT,Black,2220,270,16
Asus PRIME OC,599.99,https://cdna.pcpartpicker.com/static/forever/images/product/43191ac360269737064e20b57d60c9b6.256p.jpg,3030,Radeon RX 9070 XT,Black,2460,312,16
Asus PRIME,869.99,https://cdna.pcpartpicker.com/static/forever/images/product/ff0463c9c1bab135e7d0be471295c5ee.256p.jpg,2482,GeForce RTX 5070 Ti,Black / White,2300,304,16
PowerColor Reaper,578.99,https://cdna.pcpartpicker.com/static/forever/images/product/ee430c2bbe34ba14fdf0378514f2bfdc.256p.jpg,2970,Radeon RX 9070 XT,Black / Red,2400,289,16
Sapphire PULSE,629.99,https://cdna.pcpartpicker.com/static/forever/images/product/bb4fb586eae43c6dd135c6a5b97ddb52.256p.jpg,2970,Radeon RX 9070 XT,Black,2400,320,16
ASRock Challenger,642.29,https://cdna.pcpartpicker.com/static/forever/images/product/4b0008912e6c94054f947bf95256f000.256p.jpg,2970,Radeon RX 9070 XT,Black,2400,290,16
MSI VENTUS 2X OC,213.14,https://cdna.pcpartpicker.com/static/forever/images/product/3b41941b9302f7e9095a49d681a27835.256p.jpg,1492,GeForce RTX 3050 6GB,Black,1040,189,6
XFX Swift,589.99,https://cdna.pcpartpicker.com/static/forever/images/product/66ab940d990308e87d1e2f33130d0831.256p.jpg,2970,Radeon RX 9070 XT,Black,1660,325,16
MSI GeForce RTX 3060 Ventus 2X 12G,308.73,https://cdna.pcpartpicker.com/static/forever/images/product/dbc81b89efc82ce66fb2e3ab7e0f0658.256p.jpg,1777,GeForce RTX 3060 12GB,Black,1320,235,12
Gigabyte EAGLE OC SFF,628.99,https://cdna.pcpartpicker.com/static/forever/images/product/a3192df075922ee3bd6fe1e04301b624.256p.jpg,2587,GeForce RTX 5070,White,2160,290,12
NVIDIA Founders Edition,3992.56,https://cdna.pcpartpicker.com/static/forever/images/product/47f0dc00854d366a83eb4a669b988969.256p.jpg,2407,GeForce RTX 5090,Black / Silver,2017,304,32
MSI VENTUS 2X PLUS OC,279.98,https://cdna.pcpartpicker.com/static/forever/images/product/119d0908566b15ced62e41f53a108469.256p.jpg,2617,GeForce RTX 5060 Ti,Black / Gray,2410,227,8
MSI SHADOW 2X OC,673.13,https://cdna.pcpartpicker.com/static/forever/images/product/8c4f403aea1d6a32045a6368e23486c1.256p.jpg,,GeForce RTX 5070,Black,2557,231,12
Sapphire NITRO+,698.99,https://cdna.pcpartpicker.com/static/forever/images/product/1add1f9857eec8cf98c8963331dfe4b6.256p.jpg,3060,Radeon RX 9070 XT,Black,2520,331,16
XFX Speedster QICK 309,463,https://cdna.pcpartpicker.com/static/forever/images/product/7b84bdf7b13951158cf852252b9e627b.256p.jpg,2810,Radeon RX 7600 XT,Black,1720,302,16
NVIDIA 900-5G144-2200-000,10499.99,https://cdna.pcpartpicker.com/static/forever/images/product/2c08913683bd92dd3c8d0bef906c6cd5.256p.jpg,,RTX PRO 6000 Blackwell,Black,1590,305,96
Asus TUF GAMING OC,939.99,https://cdna.pcpartpicker.com/static/forever/images/product/d85af27e38505651d2ad048fb72ee1fa.256p.jpg,2610,GeForce RTX 5070 Ti,Black / Silver,2300,329,16
MSI GAMING TRIO OC,969.49,https://cdna.pcpartpicker.com/static/forever/images/product/b9d497b4a6cf3f7d1d475cb03ca001d3.256p.jpg,2580,GeForce RTX 5070 Ti,Black,2300,338,16
Asus DUAL,379.99,https://cdna.pcpartpicker.com/static/forever/images/product/e049daeea6a93f7ac4473a2314c95f0b.256p.jpg,3250,Radeon RX 9060 XT,Black,2220,202,16
Gigabyte GAMING OC ICE,599.99,https://cdna.pcpartpicker.com/static/forever/images/product/ce5fe8c1e8a90bcfb4359474dcf4f05d.256p.jpg,3060,Radeon RX 9070 XT,White,2400,288,16
Intel Limited Edition,379.99,https://cdna.pcpartpicker.com/static/forever/images/product/4d6582f8f760f3da54b0dc4f85a816d4.256p.jpg,,Arc B580,Black,2670,272,12
