name,price,image,cas_latency,color,first_word_latency,modules,price_gb,speed
Biwin Black Opal DW100 RGB 32 GB,389.99,https://m.media-amazon.com/images/I/31V3qsCoFgL.jpg,30,Black,10 ns,2 x 16GB,Price / GB£12.187,DDR5-6000
Corsair Vengeance RGB 32 GB,394,https://cdna.pcpartpicker.com/static/forever/images/product/7ef0d8acd3ee08b70fe3eb60ef8a89f0.256p.jpg,36,Black,12 ns,2 x 16GB,Price / GB£12.312,DDR5-6000
Crucial Pro 32 GB,359.99,https://m.media-amazon.com/images/I/31nC0fIgpCL.jpg,38,Black,11.875 ns,2 x 16GB,Price / GB£11.250,DDR5-6400
Crucial Pro Overclocking 32 GB,360,https://cdna.pcpartpicker.com/static/forever/images/product/8a27b27e001fa74f74f42e9e528f762b.256p.jpg,36,Black,12 ns,2 x 16GB,Price / GB£11.250,DDR5-6000
Corsair Vengeance RGB 16 GB,199.99,https://cdna.pcpartpicker.com/static/forever/images/product/9c711c2e20ef4adac880e44fe9fc13fe.256p.jpg,40,Black / Gray,15.385 ns,2 x 8GB,Price / GB£12.499,DDR5-5200
Patriot Viper Elite 5 16 GB,217.3,https://cdna.pcpartpicker.com/static/forever/images/product/982b9428595cdc64d19a034fcf0b7d3b.256p.jpg,30,White,10 ns,1 x 16GB,Price / GB£13.581,DDR5-6000
Corsair Vengeance 32 GB,344.99,https://m.media-amazon.com/images/I/41jJSPS8W7L.jpg,36,Black,12 ns,2 x 16GB,Price / GB£10.781,DDR5-6000
G.Skill Flare X5 32 GB,440.21,https://cdna.pcpartpicker.com/static/forever/images/product/2a5856ab677607ec6f3b1c25bed693ab.256p.jpg,36,Black,12 ns,2 x 16GB,Price / GB£13.757,DDR5-6000
Silicon Power Value Gaming 32 GB,181.99,https://m.media-amazon.com/images/I/318GA-iDDxL.jpg,30,Black,10 ns,2 x 16GB,Price / GB,DDR5-6000
TEAMGROUP T-Force Delta RGB 16 GB,274.9,https://cdna.pcpartpicker.com/static/forever/images/product/ef4ede6a5602aee565feee7d3c8fa555.256p.jpg,38,White,12.667 ns,2 x 8GB,Price / GB£17.181,DDR5-6000
G.Skill Trident Z5 Neo RGB 32 GB,489,https://cdna.pcpartpicker.com/static/forever/images/product/a4cecff25f58230f3fbae1903d711e49.256p.jpg,30,Black,10 ns,2 x 16GB,Price / GB£15.281,DDR5-6000
Corsair Vengeance RGB 64 GB,957.99,https://cdna.pcpartpicker.com/static/forever/images/product/b1665563e29b41aa1c8196138887180c.256p.jpg,30,Black,10 ns,2 x 32GB,Price / GB£14.969,DDR5-6000
G.Skill Trident Z5 RGB 128 GB,2928.1,https://cdna.pcpartpicker.com/static/forever/images/product/77f8bc61316a59e20a54800382cd18af.256p.jpg,36,Black,11.25 ns,2 x 64GB,Price / GB£22.876,DDR5-6400
G.Skill Flare X5 16 GB,227.14,https://cdna.pcpartpicker.com/static/forever/images/product/35f2de12019955da5181b343ea10f7f8.256p.jpg,36,Black,12 ns,1 x 16GB,Price / GB£14.196,DDR5-6000
Kingston FURY Beast 32 GB,449.99,https://cdna.pcpartpicker.com/static/forever/images/product/a8385f3844354a8ef200d05fd001612e.256p.jpg,30,Black,10 ns,2 x 16GB,Price / GB£14.062,DDR5-6000
Crucial Pro 64 GB,644.98,https://cdna.pcpartpicker.com/static/forever/images/product/332fe880e8def29585f15f72927e21a2.256p.jpg,40,Black,13.333 ns,2 x 32GB,Price / GB£10.078,DDR5-6000
G.Skill Trident Z5 Neo RGB 64 GB,784.99,https://cdna.pcpartpicker.com/static/forever/images/product/e78bbfad53adb43cef5cdf5cfd959015.256p.jpg,30,Black / Silver,10 ns,2 x 32GB,Price / GB£12.265,DDR5-6000
Corsair Vengeance 16 GB,199.99,https://cdna.pcpartpicker.com/static/forever/images/product/6b1d884bc966d59e8217463647970017.256p.jpg,40,Black,15.385 ns,2 x 8GB,Price / GB£12.499,DDR5-5200
Patriot Viper Venom 32 GB,379.99,https://cdna.pcpartpicker.com/static/forever/images/product/82182136c557a8b9975e956b58a558fa.256p.jpg,30,Black / White,10 ns,2 x 16GB,Price / GB£11.875,DDR5-6000
TEAMGROUP T-Create Expert 32 GB,439.2,https://m.media-amazon.com/images/I/31asQLA0njL.jpg,30,Black,10 ns,2 x 16GB,Price / GB£13.725,DDR5-6000
Patriot Viper Venom 16 GB,199.99,https://cdna.pcpartpicker.com/static/forever/images/product/766c18ad6210bf330ebd5708e6d6081b.256p.jpg,40,Black / White,14.286 ns,2 x 8GB,Price / GB£12.499,DDR5-5600
Kingston FURY Beast RGB 32 GB,449.99,https://cdna.pcpartpicker.com/static/forever/images/product/97232484080d76f60c340829feff8fb4.256p.jpg,30,Black,10 ns,2 x 16GB,Price / GB£14.062,DDR5-6000
TEAMGROUP T-Force Vulcan 16 GB,255.24,https://cdna.pcpartpicker.com/static/forever/images/product/71eccae973087bde1c431adebbb600dd.256p.jpg,38,Black,12.667 ns,2 x 8GB,Price / GB£15.953,DDR5-6000
Kingston FURY Beast 16 GB,214.99,https://cdna.pcpartpicker.com/static/forever/images/product/a3be96b8a0661a311ecf0e960adedbb4.256p.jpg,30,Black,10 ns,2 x 8GB,Price / GB£13.437,DDR5-6000
TEAMGROUP T-Force Delta RGB 32 GB,409,https://cdna.pcpartpicker.com/static/forever/images/product/d2e3f9b94f541ad51a19011026245df2.256p.jpg,30,White,10 ns,2 x 16GB,Price / GB£12.781,DDR5-6000
V-Color Manta XSky RGB 32 GB,430.23,https://cdna.pcpartpicker.com/static/forever/images/product/0bb1db0d403877e1cc41a17ab759a793.256p.jpg,30,Black,10 ns,2 x 16GB,Price / GB£13.445,DDR5-6000
Silicon Power XPOWER Zenith Gaming 32 GB,427.07,https://m.media-amazon.com/images/I/41hGjQJ0DCL.jpg,36,Black,12 ns,2 x 16GB,Price / GB£13.346,DDR5-6000
Patriot Viper Elite 5 32 GB,405.95,https://cdna.pcpartpicker.com/static/forever/images/product/57f82fbdb9d5b94c4a14be5f44f30427.256p.jpg,30,White,10 ns,2 x 16GB,Price / GB£12.686,DDR5-6000
Corsair Vengeance 128 GB,1199.99,https://cdna.pcpartpicker.com/static/forever/images/product/430bd0c0e205970df01f262dcc3ed9fa.256p.jpg,42,Black,13.125 ns,2 x 64GB,Price / GB£9.375,DDR5-6400
TEAMGROUP T-Force Vulcan 32 GB,399,https://cdna.pcpartpicker.com/static/forever/images/product/71eccae973087bde1c431adebbb600dd.256p.jpg,30,Black,10 ns,2 x 16GB,Price / GB£12.469,DDR5-6000
Silicon Power SP008GBLVU480G02 8 GB,,https://cdna.pcpartpicker.com/static/forever/images/product/78b9b7b9d6d6093a6914c71c62696dfc.256p.jpg,40,,16.667 ns,1 x 8GB,Price / GB,DDR5-4800
Corsair Vengeance 64 GB,677.95,https://cdna.pcpartpicker.com/static/forever/images/product/26d2fcb6a3797a23e5a7bfe1657fb2a8.256p.jpg,40,Black,15.385 ns,2 x 32GB,Price / GB£10.593,DDR5-5200
G.Skill Flare X5 64 GB,937.01,https://cdna.pcpartpicker.com/static/forever/images/product/f7d28bd70b14a7eaef6627ce7ecc3fd6.256p.jpg,30,Black,10 ns,2 x 32GB,Price / GB£14.641,DDR5-6000
Kingston FURY Beast RGB 16 GB,219.95,https://cdna.pcpartpicker.com/static/forever/images/product/6c393532a8e7ab9205dad6717bd5fd4c.256p.jpg,36,Black,12 ns,2 x 8GB,Price / GB£13.747,DDR5-6000
G.Skill Trident Z5 Royal Neo RGB 32 GB,656.03,https://cdna.pcpartpicker.com/static/forever/images/product/297a1bced0fdc057482d491aed331bc2.256p.jpg,28,Silver,9.333 ns,2 x 16GB,Price / GB£20.501,DDR5-6000
Corsair Dominator Titanium 64 GB,1209.99,https://cdna.pcpartpicker.com/static/forever/images/product/d28379b9dec15eb6b32ea27b768b85e6.256p.jpg,30,White,10 ns,2 x 32GB,Price / GB£18.906,DDR5-6000
Klevv FIT V 32 GB,419.99,https://cdna.pcpartpicker.com/static/forever/images/product/1c0d63144a5153a35f5658d8e2185eda.256p.jpg,28,Black,9.333 ns,2 x 16GB,Price / GB,DDR5-6000
G.Skill Trident Z5 RGB 32 GB,499.99,https://cdna.pcpartpicker.com/static/forever/images/product/e8d573bd2eac864d427645f0d2f7cad8.256p.jpg,32,Black,10 ns,2 x 16GB,Price / GB£15.625,DDR5-6400
