name,price,image,cache,capacity,form_factor,interface,price_gb,type
ADATA LEGEND 860,124.94,https://cdna.pcpartpicker.com/static/forever/images/product/caa0126e94269529feefd20dacb980b9.256p.jpg,,1,M.2-2280,M.2 PCIe 4.0 X4,Price / GB£0.125,SSD
Kingston NV3,129.95,https://cdna.pcpartpicker.com/static/forever/images/product/dd209f6e731740b8c5f702e2fc673ad2.256p.jpg,,1,M.2-2280,M.2 PCIe 4.0 X4,Price / GB£0.130,SSD
Samsung 990 Pro,318.99,https://cdna.pcpartpicker.com/static/forever/images/product/242cc7c9d1e07078de3b04029e20dd82.256p.jpg,2048,2,M.2-2280,M.2 PCIe 4.0 X4,Price / GB£0.159,SSD
Crucial P310,128.9,https://cdna.pcpartpicker.com/static/forever/images/product/2691f40daa1dad84937299288269d9e2.256p.jpg,,1,M.2-2280,M.2 PCIe 4.0 X4,Price / GB£0.129,SSD
Silicon Power UD90,124.99,https://cdna.pcpartpicker.com/static/forever/images/product/2cfc0dd6eb47b5a49a2820fbdd9bab63.256p.jpg,,1,M.2-2280,M.2 PCIe 4.0 X4,Price / GB£0.125,SSD
Samsung 9100 PRO,1379.99,https://cdna.pcpartpicker.com/static/forever/images/product/01ad6b516b12c519dfb76ed08a2a7ef3.256p.jpg,8192,8,M.2-2280,M.2 PCIe 5.0 X4,Price / GB£0.172,SSD
Western Digital WD_Black SN850X,269.99,https://cdna.pcpartpicker.com/static/forever/images/product/0427e658396f37fc8e06723b42a4f7df.256p.jpg,2048,2,M.2-2280,M.2 PCIe 4.0 X4,Price / GB£0.135,SSD
Patriot P300,79.48,https://cdna.pcpartpicker.com/static/forever/images/product/802eda7983bb37a733ea6f9890791188.256p.jpg,,512,M.2-2280,M.2 PCIe 3.0 X4,Price / GB£0.155,SSD
Samsung 990 EVO Plus,269.5,https://cdna.pcpartpicker.com/static/forever/images/product/b07f8856896f341990d6f5ed5c663406.256p.jpg,,2,M.2-2280,M.2 PCIe 5.0 X2,Price / GB£0.135,SSD
Silicon Power P34A60,118.97,https://cdna.pcpartpicker.com/static/forever/images/product/229130faab065e7908c58fd694f78e1a.256p.jpg,,1,M.2-2280,M.2 PCIe 3.0 X4,Price / GB,SSD
Seagate Barracuda Compute,106.94,https://m.media-amazon.com/images/I/51pIb4cQHxL.jpg,256,2,3.5,SATA 6.0 Gb/s,Price / GB£0.053,7200 RPM
Intel D3-S4510,,https://m.media-amazon.com/images/I/31SZwnDlkwL.jpg,,7.68,2.5,SATA 6.0 Gb/s,Price / GB,SSD
Samsung 980 Pro,277,https://cdna.pcpartpicker.com/static/forever/images/product/3b2a91588d1a28bfa1b0184fb7f1c0a1.256p.jpg,1024,1,M.2-2280,M.2 PCIe 4.0 X4,Price / GB£0.277,SSD
Western Digital WD_BLACK SN7100,144.95,https://cdna.pcpartpicker.com/static/forever/images/product/6f0fd73f94e49659eace8db76370bc34.256p.jpg,,1,M.2-2280,M.2 PCIe 4.0 X4,Price / GB£0.145,SSD
Kingston FURY Renegade G5,1527.75,https://cdna.pcpartpicker.com/static/forever/images/product/c8443eac545855ab2ef3b11814140054.256p.jpg,,8,M.2-2280,M.2 PCIe 5.0 X4,Price / GB£0.191,SSD
Western Digital Caviar Blue,89.99,https://cdna.pcpartpicker.com/static/forever/images/product/daf819b70eccf7fec275bd65e3fe2b6a.256p.jpg,64,1,3.5,SATA 6.0 Gb/s,Price / GB£0.090,7200 RPM
Crucial P510,219.95,https://cdna.pcpartpicker.com/static/forever/images/product/d54a12ece6338a1a71ecaa145f58f616.256p.jpg,,2,M.2-2280,M.2 PCIe 5.0 X4,Price / GB£0.110,SSD
Patriot P400 Lite,164.99,https://cdna.pcpartpicker.com/static/forever/images/product/0aaf750acd7697a2e0fac812b6ba7770.256p.jpg,,1,M.2-2280,M.2 PCIe 4.0 X4,Price / GB£0.165,SSD
Seagate BarraCuda,143.63,https://m.media-amazon.com/images/I/51jzvyPoV6L.jpg,256,4,3.5,SATA 6.0 Gb/s,Price / GB£0.036,5400 RPM
Samsung 870 Evo,219.99,https://cdna.pcpartpicker.com/static/forever/images/product/2c576ecaedba7428ac231ac4f1e12a4d.256p.jpg,1024,1,2.5,SATA 6.0 Gb/s,Price / GB£0.220,SSD
Seagate Exos M,1140.04,https://cdna.pcpartpicker.com/static/forever/images/product/440b6d462c8e9b8f8d3f2eba0892424a.256p.jpg,,30,3.5,SATA 6.0 Gb/s,Price / GB£0.038,7200 RPM
Crucial P3 Plus,260.07,https://cdna.pcpartpicker.com/static/forever/images/product/e28de633eafbdc136277c18fc2acc45f.256p.jpg,,1,M.2-2280,M.2 PCIe 4.0 X4,Price / GB£0.260,SSD
Crucial T710,279.99,https://cdna.pcpartpicker.com/static/forever/images/product/abd724ed757ac7efff283d51c2b66cde.256p.jpg,,2,M.2-2280,M.2 PCIe 5.0 X4,Price / GB£0.140,SSD
Silicon Power A55,53.97,https://cdna.pcpartpicker.com/static/forever/images/product/2b903d1b9fb20f692f6c9d815376de49.256p.jpg,,512,2.5,SATA 6.0 Gb/s,Price / GB£0.105,SSD
Samsung 970 Evo Plus,121.99,https://cdna.pcpartpicker.com/static/forever/images/product/13eff9fb98909107806f62c493d3775f.256p.jpg,1024,1,M.2-2280,M.2 PCIe 3.0 X4,Price / GB,SSD
Samsung 9100 PRO w/Heatsink,1501.4,https://cdna.pcpartpicker.com/static/forever/images/product/7d2bcbd37be362c0cc30ab8f8cffe824.256p.jpg,8192,8,M.2-2280,M.2 PCIe 5.0 X4,Price / GB£0.188,SSD
Lexar NM790,149.94,https://m.media-amazon.com/images/I/410m8y+8sIL.jpg,,1,M.2-2280,M.2 PCIe 4.0 X4,Price / GB£0.150,SSD
Western Digital Blue,119.97,https://cdna.pcpartpicker.com/static/forever/images/product/0b9bfd76b0d511a6eff3730d12d5f95c.256p.jpg,256,2,3.5,SATA 6.0 Gb/s,Price / GB£0.060,7200 RPM
OWC Mercury Enterprise Pro 6G,,https://cdna.pcpartpicker.com/static/forever/images/product/78e0b4ee0ab65ea56f17972283df0c0f.256p.jpg,,16,2.5,SATA 6.0 Gb/s,Price / GB,SSD
Crucial BX500,144.84,https://cdna.pcpartpicker.com/static/forever/images/product/fff84afccbfab3054a5a88963c4bb271.256p.jpg,,1,2.5,SATA 6.0 Gb/s,Price / GB£0.145,SSD
Kingston NV2,95.59,https://cdna.pcpartpicker.com/static/forever/images/product/7aa3028d0fc04e0ee3323f474bd349bd.256p.jpg,,1,M.2-2280,M.2 PCIe 4.0 X4,Price / GB,SSD
Acer Predator GM7000,,https://cdna.pcpartpicker.com/static/forever/images/product/12f86981f480322cc08d5561239cba2d.256p.jpg,2048,2,M.2-2280,M.2 PCIe 4.0 X4,Price / GB,SSD
Western Digital Black SN770,224.85,https://cdna.pcpartpicker.com/static/forever/images/product/5ab53f4ea70381a66686c52d0b6e05a6.256p.jpg,,1,M.2-2280,M.2 PCIe 4.0 X4,Price / GB£0.225,SSD
Crucial E100,149.43,https://cdna.pcpartpicker.com/static/forever/images/product/62ef9620cb99292a8f9adf9ad72c49b3.256p.jpg,,1,M.2-2280,M.2 PCIe 4.0 X4,Price / GB£0.149,SSD
Western Digital WD_BLACK SN8100,339.98,https://cdna.pcpartpicker.com/static/forever/images/product/1a712c4fc7eec20d6af59f2992e40962.256p.jpg,2048,2,M.2-2280,M.2 PCIe 5.0 X4,Price / GB£0.170,SSD
Western Digital AV-GP,49.58,https://m.media-amazon.com/images/I/51yl2DEVzkL.jpg,16,250,3.5,SATA 3.0 Gb/s,Price / GB£0.198,5400 RPM
Kingston KC3000,260.32,https://m.media-amazon.com/images/I/31p3IUZV+ZL.jpg,,2.048,M.2-2280,M.2 PCIe 4.0 X4,Price / GB£0.127,SSD
Crucial T500,269.99,https://cdna.pcpartpicker.com/static/forever/images/product/3fd5aee2fd8854d15ef3c81dcd9599f5.256p.jpg,,2,M.2-2280,M.2 PCIe 4.0 X4,Price / GB£0.135,SSD
XPG SX6000 Lite,,https://cdna.pcpartpicker.com/static/forever/images/product/753164a895848b0ed155b49d02388a56.256p.jpg,,1,M.2-2280,M.2 PCIe 3.0 X4,Price / GB,SSD
Western Digital Blue SN580,299,https://cdna.pcpartpicker.com/static/forever/images/product/f3d3390c0b08de6bbdfecbac012c639b.256p.jpg,,1,M.2-2280,M.2 PCIe 4.0 X4,Price / GB£0.299,SSD
Samsung 980 Pro w/Heatsink,149.93,https://cdna.pcpartpicker.com/static/forever/images/product/b2412d4f6cdb883eafbc4a27afa07878.256p.jpg,2048,2,M.2-2280,M.2 PCIe 4.0 X4,Price / GB,SSD
Crucial P310 w/ Acronis Data Recovery,214.39,https://m.media-amazon.com/images/I/31s-wKnYDvL.jpg,,2,M.2-2280,M.2 PCIe 4.0 X4,Price / GB£0.107,SSD
Gigabyte AORUS Gen4,,https://cdna.pcpartpicker.com/static/forever/images/product/d59265eb1c1a742d7b7510e8259924db.256p.jpg,2048,1,M.2-2280,M.2 PCIe 4.0 X4,Price / GB,SSD
Kingston A400,65.98,https://cdna.pcpartpicker.com/static/forever/images/product/97e2bd828644767c8a80b71f8cb14743.256p.jpg,,240,2.5,SATA 6.0 Gb/s,Price / GB£0.275,SSD
