web_scraper_order,web_scraper_start_url,data,price,data2,data3,data4,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,data19,data20,data21,data22,data23,data24,data25,data26,data27,image,image2,image3,image4
"1784224200-1","https://www.scan.co.uk/shop/computer-hardware/cables/all","Adam Elements Lightning/MicroUSB Cable Du-Plug Flip 120, 1.2m, Pink, Apple MFI Certified, for iPhone/iPad/Smartphones","£0.98","LN61763","98","Adam Elements Pink Reversible 120cm Micro USB/Lightning Cable","Add To Basket","Adam Elements Lightning/MicroUSB Cable Du-Plug Flip 120","Compare","","Quick view","In stock","1.2m","Pink","Apple MFI Certified","for iPhone/iPad/Smartphones","Get it Tomorrow, 17 Jul","Tomorrow, 17 Jul","","Key Specifications","Get it Tomorrow, 17 Jul","Tomorrow, 17 Jul","","","Get it Tomorrow, 17 Jul","Tomorrow, 17 Jul","No customer review","","£","https://www.scan.co.uk/images/products/to/2495866.jpg","https://www.scan.co.uk/images/products/xlarge/2495866-xl-a.jpg","https://www.scan.co.uk/images/products/xlarge/2495866-xl-b.jpg","https://www.scan.co.uk/images/manufacturers/adamelements.gif"
"1784224200-2","https://www.scan.co.uk/shop/computer-hardware/cables/all","Adam Elements Lightning-Cable Charge/Sync Stand, 0.3m, Apple MFi Certified, for iPhone 5/6/7/8/X, Black","£0.98","LN61575","98","Adam Elements Lightning Charging Stand/Cable","Add To Basket","Adam Elements Lightning-Cable Charge/Sync Stand","Compare","","Quick view","In stock","0.3m","Apple MFi Certified","for iPhone 5/6/7/8/X","Black","Get it Tomorrow, 17 Jul","Tomorrow, 17 Jul","","Key Specifications","Get it Tomorrow, 17 Jul","Tomorrow, 17 Jul","","","Get it Tomorrow, 17 Jul","Tomorrow, 17 Jul","No customer review","","£","https://www.scan.co.uk/images/products/to/2495853.jpg","https://www.scan.co.uk/images/products/xlarge/2495853-xl-a.jpg","https://www.scan.co.uk/images/products/xlarge/2495853-xl-b.jpg","https://www.scan.co.uk/images/manufacturers/adamelements.gif"
"1784224200-3","https://www.scan.co.uk/shop/computer-hardware/cables/all","Adam Elements Lightning-Cable Charge/Sync Stand, 0.3m, Apple MFi Certified, for iPhone 5/6/7/8/X, White","£0.98","LN61578","98","Adam Elements iPhone 5/6/7/8/X Lightning Charging Stand/Cable","Add To Basket","Adam Elements Lightning-Cable Charge/Sync Stand","Compare","","Quick view","In stock","0.3m","Apple MFi Certified","for iPhone 5/6/7/8/X","White","Get it Tomorrow, 17 Jul","Tomorrow, 17 Jul","","Key Specifications","Get it Tomorrow, 17 Jul","Tomorrow, 17 Jul","","","Get it Tomorrow, 17 Jul","Tomorrow, 17 Jul","No customer review","","£","https://www.scan.co.uk/images/products/to/2495855.jpg","https://www.scan.co.uk/images/products/xlarge/2495855-xl-a.jpg","https://www.scan.co.uk/images/products/xlarge/2495855-xl-b.jpg","https://www.scan.co.uk/images/manufacturers/adamelements.gif"
"1784224200-4","https://www.scan.co.uk/shop/computer-hardware/cables/all","1M Techlink 528746 Apple Lightning Sync/Charge Cable w/ Fast 2.1A Car Charger, Apple MFI Certified, Black","£1.49","LN107047","49","Techlink iWires 1M Apple Lightning Cable with Fast 2.1A Car Charger","Add To Basket","1M Techlink 528746 Apple Lightning Sync/Charge Cable w/ Fast 2.1A Car Charger","Compare","","Quick view","In stock","Apple MFI Certified","Black","","","Get it Tomorrow, 17 Jul","Tomorrow, 17 Jul","","Key Specifications","Get it Tomorrow, 17 Jul","Tomorrow, 17 Jul","","","Get it Tomorrow, 17 Jul","Tomorrow, 17 Jul","No customer review","","£","https://www.scan.co.uk/images/products/to/3172902.jpg","https://www.scan.co.uk/images/products/xlarge/3172902-xl-a.jpg","","https://www.scan.co.uk/images/manufacturers/Techlink.gif"
"1784224200-5","https://www.scan.co.uk/shop/computer-hardware/cables/all","Adam Elements Lightning/MicroUSB Cable Du-Plug Flip 120, 1.2m Blue, Apple MFi Certified, for iPhone/iPad/Smartphones","£1.99","LN61764","99","Adam Elements Blue Reversible 120cm Micro USB/Lightning Cable","Add To Basket","Adam Elements Lightning/MicroUSB Cable Du-Plug Flip 120","Compare","","Quick view","In stock","1.2m Blue","Apple MFi Certified","for iPhone/iPad/Smartphones","","Get it Tomorrow, 17 Jul","Tomorrow, 17 Jul","","Key Specifications","Get it Tomorrow, 17 Jul","Tomorrow, 17 Jul","","","Get it Tomorrow, 17 Jul","Tomorrow, 17 Jul","No customer review","","£","https://www.scan.co.uk/images/products/to/2495868.jpg","https://www.scan.co.uk/images/products/xlarge/2495868-xl-a.jpg","https://www.scan.co.uk/images/products/xlarge/2495868-xl-b.jpg","https://www.scan.co.uk/images/manufacturers/adamelements.gif"
"1784224200-6","https://www.scan.co.uk/shop/computer-hardware/cables/all","Adam Elements Lightning/MicroUSB Cable Du-Plug Flip 20, 0.2m, Black, Apple MFi Certified, for iPhone/iPad/Smartphones","£1.99","LN61765","99","Adam Elements Black Reversible 20cm Micro USB/Lightning Cable","Add To Basket","Adam Elements Lightning/MicroUSB Cable Du-Plug Flip 20","Compare","","Quick view","In stock","0.2m","Black","Apple MFi Certified","for iPhone/iPad/Smartphones","Get it Tomorrow, 17 Jul","Tomorrow, 17 Jul","","Key Specifications","Get it Tomorrow, 17 Jul","Tomorrow, 17 Jul","","","Get it Tomorrow, 17 Jul","Tomorrow, 17 Jul","No customer review","","£","https://www.scan.co.uk/images/products/to/2495870.jpg","https://www.scan.co.uk/images/products/xlarge/2495870-xl-a.jpg","https://www.scan.co.uk/images/products/xlarge/2495870-xl-b.jpg","https://www.scan.co.uk/images/manufacturers/adamelements.gif"
"1784224200-7","https://www.scan.co.uk/shop/computer-hardware/cables/all","Adam Elements Lightning/MicroUSB Cable Du-Plug Flip 20, 0.2m, White, Apple MFi Certified, for iPhone/iPad/Smartphones","£1.99","LN61767","99","Adam Elements White Reversible 20cm Micro USB/Lightning Cable","Add To Basket","Adam Elements Lightning/MicroUSB Cable Du-Plug Flip 20","Compare","","Quick view","In stock","0.2m","White","Apple MFi Certified","for iPhone/iPad/Smartphones","Get it Tomorrow, 17 Jul","Tomorrow, 17 Jul","","Key Specifications","Get it Tomorrow, 17 Jul","Tomorrow, 17 Jul","","","Get it Tomorrow, 17 Jul","Tomorrow, 17 Jul","No customer review","","£","https://www.scan.co.uk/images/products/to/2495871.jpg","https://www.scan.co.uk/images/products/xlarge/2495871-xl-a.jpg","https://www.scan.co.uk/images/products/xlarge/2495871-xl-b.jpg","https://www.scan.co.uk/images/manufacturers/adamelements.gif"
"1784224200-8","https://www.scan.co.uk/shop/computer-hardware/cables/all","0.8M Allocacoc 3-in-1 USB-A to Lightning / Mini USB / Micro USB Adapter Cable, Durable, Tangle-Free,  MFI Certified","£2.59","LN150302","59","Allocacoc USB-A to Lightning / Mini USB / Micro USB Adapter 3-in-1 Adapter Cable","Add To Basket","0.8M Allocacoc 3-in-1 USB-A to Lightning / Mini USB / Micro USB Adapter Cable","Compare","","Quick view","In stock","Durable","Tangle-Free","MFI Certified","","Get it Tomorrow, 17 Jul","Tomorrow, 17 Jul","Offer","Key Specifications","Get it Tomorrow, 17 Jul","Tomorrow, 17 Jul","","","Get it Tomorrow, 17 Jul","Tomorrow, 17 Jul","No customer review","","£","https://www.scan.co.uk/images/products/to/3626507.jpg","https://www.scan.co.uk/images/products/xlarge/3626507-xl-a.jpg","https://www.scan.co.uk/images/products/xlarge/3626507-xl-b.jpg",""
"1784224200-9","https://www.scan.co.uk/shop/computer-hardware/cables/all","32GB MEEM V2 Apple iOS Automatic Backup Cable + Sync/Charge USB to Lightning  MFi Approved","£3.49","LN108648","49","MEEM Apple iOS 32GB V2 Automatic Backup Cable Sync/Charge USB-Lightning MFi Approved","Add To Basket","32GB MEEM V2 Apple iOS Automatic Backup Cable + Sync/Charge USB to Lightning  MFi Approved","Compare","(1)","Quick view","In stock","","","","","Get it Tomorrow, 17 Jul","Tomorrow, 17 Jul","","Key Specifications","Get it Tomorrow, 17 Jul","Tomorrow, 17 Jul","","","Get it Tomorrow, 17 Jul","Tomorrow, 17 Jul","","Customer Review","£","https://www.scan.co.uk/images/products/to/3196029.jpg","https://www.scan.co.uk/images/products/xlarge/3196029-xl-a.jpg","https://www.scan.co.uk/images/products/xlarge/3196029-xl-b.jpg","https://www.scan.co.uk/images/manufacturers/Meem.gif"
"1784224200-10","https://www.scan.co.uk/shop/computer-hardware/cables/all","1.5M DigiPower SP-3N1 3-in-1 Apple Lightning, 30-Pin and Micro-USB Combo Cable to USB 2.0 Cable, MFI Certified, White","£3.98","LN84339","98","DigiPower 5Ft 3-in-1 Apple Lightning 30-Pin & Micro-USB Combo Cable","Add To Basket","1.5M DigiPower SP-3N1 3-in-1 Apple Lightning","Compare","","Quick view","In stock","30-Pin and Micro-USB Combo Cable to USB 2.0 Cable","MFI Certified","White","","Get it Tomorrow, 17 Jul","Tomorrow, 17 Jul","Sale","Key Specifications","Get it Tomorrow, 17 Jul","Tomorrow, 17 Jul","","","Get it Tomorrow, 17 Jul","Tomorrow, 17 Jul","No customer review","","£","https://www.scan.co.uk/images/products/to/2883171.jpg","https://www.scan.co.uk/images/products/xlarge/2883171-xl-a.jpg","","https://www.scan.co.uk/images/manufacturers/digipower.gif"
