name,price,image,airflow,color,noise_level,pwm,rpm,size,rating
Lian Li Uni Fan SL-Infinity 3-Pack,60.46,https://cdna.pcpartpicker.com/static/forever/images/product/6e924f68ceb41087f42d587ae5f524a5.256p.jpg,0 - 61.3 CFM,Black,0 - 29 dB,Yes,,120 mm,4.5
ARCTIC P12 Pro PST 5-Pack,25.99,,77 CFM,Black,,Yes,600 - 3000 RPM,120 mm,4.5
Corsair RS120 ARGB 3-Pack,33.99,https://cdna.pcpartpicker.com/static/forever/images/product/d42ad252447db33db476f5c3b98450d5.256p.jpg,13.3 - 72.8 CFM,Black,10 - 36 dB,Yes,420 - 2100 RPM,120 mm,4
Noctua NF-A12x25 PWM chromax.black.swap,29.99,,60.09 CFM,Black,22.6 dB,Yes,450 - 2000 RPM,120 mm,4.5
ARCTIC P12 Pro,6.95,,77 CFM,Black,,Yes,600 - 3000 RPM,120 mm,5
Noctua NF-A12x25 G2 PWM Sx2-PP chromax.black 2-Pack,56.95,,0 - 63.15 CFM,Black,0 - 22.5 dB,Yes,,120 mm,0
Lian Li Uni Fan SL-Infinity,25.99,https://cdna.pcpartpicker.com/static/forever/images/product/9affdb4ef64ed18ff87ada4c3c0b043d.256p.jpg,0 - 61.3 CFM,Black,0 - 29 dB,Yes,,120 mm,4.5
Noctua NF-A14x25 G2 PWM Sx2-PP chromax.black 2-Pack,66.9,https://cdna.pcpartpicker.com/static/forever/images/product/102bdf7cab8ab9f6e259c17833bbbde6.256p.jpg,0 - 91.58 CFM,Black,0 - 24.8 dB,Yes,,140 mm,5
Thermalright TL-C12C X3 3-Pack,,,66.17 CFM,Black,25.6 dB,Yes,1550 RPM,120 mm,4.5
Thermalright TL-C12C-S X3 3-Pack,,,66.17 CFM,Black,25.6 dB,Yes,1550 RPM,120 mm,4.5
Noctua NF-A12x25 G2 PWM Sx2-PP 2-Pack,54.9,https://cdna.pcpartpicker.com/static/forever/images/product/fc3f3932fcc1a9f3f4dc39c399eabbaf.256p.jpg,51.32 - 63.15 CFM,Brown,18.1 - 22.5 dB,Yes,1500 - 1800 RPM,120 mm,5
ARCTIC P12 Pro Reverse A-RGB 3-Pack,27.99,https://cdna.pcpartpicker.com/static/forever/images/product/ae83de5b6ddfcadc1e20c540a32af810.256p.jpg,73 CFM,White,,Yes,500 - 3000 RPM,120 mm,5
Thermaltake Riing Trio 14 RGB TT Premium Edition 3-Pack,,,60.68 CFM,Black,26.5 dB,Yes,500 - 1400 RPM,140 mm,0
Lian Li UNI FAN SL Wireless 120 Reverse Blade 3-Pack,76.94,https://cdna.pcpartpicker.com/static/forever/images/product/19ebb17240352499a7ac7fff20f5eff7.256p.jpg,64 CFM,White,31 dB,Yes,400 - 2000 RPM,120 mm,5
Corsair RS120 ARGB,14.99,https://cdna.pcpartpicker.com/static/forever/images/product/6bf1b1f2cf99e974f0997bd61b1192ef.256p.jpg,13.3 - 72.8 CFM,Black,10 - 36 dB,Yes,420 - 2100 RPM,120 mm,4.5
Lian Li UNI FAN TL Wireless 3-Pack,65.47,https://cdna.pcpartpicker.com/static/forever/images/product/a27d9acbd535b84a156361f061a44455.256p.jpg,90.1 CFM,Black,33 dB,Yes,200 - 2600 RPM,120 mm,5
ARCTIC P12 Pro PST,6.95,https://cdna.pcpartpicker.com/static/forever/images/product/36500a192773ea2f8d39967b91637ab0.256p.jpg,77 CFM,Black,,Yes,600 - 3000 RPM,120 mm,4.5
ARCTIC P12 Pro Reverse 3-Pack,17.99,https://cdna.pcpartpicker.com/static/forever/images/product/5913a7cb595111b9c89fc78d342d6a83.256p.jpg,73 CFM,Black,,Yes,500 - 3000 RPM,120 mm,5
