name,price,image,type,color,side_panel,internal_35_bays,power_supply,external_volume,rating
Montech XR,49.99,https://cdna.pcpartpicker.com/static/forever/images/product/dfa4f5783baf38a029b75e60cb883d12.256p.jpg,ATX Mid Tower,Black,Tempered Glass,2,None,45.0 L,4.5
Phanteks XT PRO,132.15,https://cdna.pcpartpicker.com/static/forever/images/product/4beb27272519c97f098ceab48df1e12c.256p.jpg,ATX Mid Tower,Black,Tempered Glass,2,None,51.8 L,4.5
Lian Li Vector V100R,69.95,https://cdna.pcpartpicker.com/static/forever/images/product/33c1bd4bd2b68730e185a80a0b6e7750.256p.jpg,ATX Mid Tower,Black,Tempered Glass,1,None,53.2 L,4.5
Lian Li O11 VISION COMPACT,109.99,https://cdna.pcpartpicker.com/static/forever/images/product/2378ddd83c556329e01372a181d44328.256p.jpg,ATX Mid Tower,White,Tempered Glass,2,None,57.4 L,4.5
NZXT H5 Flow (2024),49.99,https://cdna.pcpartpicker.com/static/forever/images/product/640e44d6b2b0264413b089545b628d0a.256p.jpg,ATX Mid Tower,Black,Tempered Glass,1,None,45.0 L,4.5
Cooler Master MasterBox Q300L,129.89,https://cdna.pcpartpicker.com/static/forever/images/product/ec48e16ee4d6629045cfc4d71c649746.256p.jpg,MicroATX Mini Tower,Black,Acrylic,1,None,33.6 L,4
Corsair FRAME 4000D RS ARGB,81.66,https://cdna.pcpartpicker.com/static/forever/images/product/b92de105986e31796925b0c95a335fa0.256p.jpg,ATX Mid Tower,Black,Tempered Glass,2,None,56.7 L,4.5
Fractal Design North,114.95,https://cdna.pcpartpicker.com/static/forever/images/product/1977a3a3f6f1238d12ea2a555be4d7ce.256p.jpg,ATX Mid Tower,Black,Tempered Glass,2,None,45.1 L,4.5
HYTE Y70 Touch Infinite,334.99,https://cdna.pcpartpicker.com/static/forever/images/product/48cf06b9156aa9e1b662b35af8eb2a3b.256p.jpg,ATX Mid Tower,White,Tempered Glass,2,None,70.7 L,4.5
Lian Li O11 Dynamic Mini V2,75.95,https://cdna.pcpartpicker.com/static/forever/images/product/bf613e9d7fc5e9975f3e2609d985d9d9.256p.jpg,ATX Mid Tower,Black,Tempered Glass,2,None,45.4 L,4.5
Lian Li A3-mATX,65.47,https://cdna.pcpartpicker.com/static/forever/images/product/e2090d6841bfea8c2ec3aee350b4a3ab.256p.jpg,MicroATX Mini Tower,Black,Mesh,1,None,26.3 L,4.5
Phanteks Eclipse G370A,49.99,https://cdna.pcpartpicker.com/static/forever/images/product/bbff08990bf49c7db84fbbd100460516.256p.jpg,ATX Mid Tower,Black,Tempered Glass,0,None,48.7 L,4.5
Fractal Design North XL,153.94,https://cdna.pcpartpicker.com/static/forever/images/product/de8d089eec0681bef6c59b47f908e2ef.256p.jpg,ATX Full Tower,Black,Tinted Tempered Glass,2,None,61.4 L,4.5
Lian Li VECTOR V100R MINI,56.99,https://cdna.pcpartpicker.com/static/forever/images/product/6de2a66396686e0d8ae87631e46fc6b4.256p.jpg,MicroATX Mid Tower,Black,Tempered Glass,1,None,42.9 L,5
Fractal Design Terra,178.94,https://cdna.pcpartpicker.com/static/forever/images/product/93603f04dde2fe42335d278e66b80c4d.256p.jpg,Mini ITX Desktop,Black / Brown,Mesh,0,None,11.4 L,4.5
Montech AIR 903 MAX,55.46,,ATX Mid Tower,Black,Tempered Glass,2,None,54.2 L,4.5
Phanteks XT PRO ULTRA,74.99,https://cdna.pcpartpicker.com/static/forever/images/product/b799e3113602fc415370943709415190.256p.jpg,ATX Mid Tower,Black,Tempered Glass,2,None,51.8 L,4.5
Lian Li O11D EVO RGB,139.99,https://cdna.pcpartpicker.com/static/forever/images/product/97f123a53cbb3ce24652396462da17d1.256p.jpg,ATX Mid Tower,Black,Tempered Glass,4,None,65.3 L,4.5
Phanteks XT M3 M25,59.9,https://cdna.pcpartpicker.com/static/forever/images/product/595adcf6584a9e660f68dd260c71a356.256p.jpg,MicroATX Mid Tower,Black,Tempered Glass,1,None,40.0 L,0
Corsair 4000D Airflow,,https://cdna.pcpartpicker.com/static/forever/images/product/bc6e987da3fe22c616898d1d7fa3d227.256p.jpg,ATX Mid Tower,Black,Tinted Tempered Glass,2,None,48.6 L,4.5
Lian Li LANCOOL 217,116.94,https://cdna.pcpartpicker.com/static/forever/images/product/610e12d560e4933d797d322e677d0066.256p.jpg,ATX Mid Tower,Black / Brown,Tempered Glass,1,None,57.7 L,4.5
Lian Li Vector V100,137.4,,ATX Mid Tower,White,Tempered Glass,1,None,53.2 L,5
Fractal Design Ridge PCIe 4.0,136.49,,Mini ITX Tower,Black,Mesh,0,None,16.3 L,4.5
NZXT H3 Flow,49.98,https://cdna.pcpartpicker.com/static/forever/images/product/5b23443767ef786094bc4b6add8112a8.256p.jpg,MicroATX Mid Tower,Black,Tinted Tempered Glass,1,None,35.0 L,4
NZXT H9 Flow (2025),99.98,https://cdna.pcpartpicker.com/static/forever/images/product/0cda49e883ff1ea3cab69e0808746f27.256p.jpg,ATX Mid Tower,Black,Tinted Tempered Glass,2,None,76.7 L,4.5
Lian Li Lancool 207,74.99,https://cdna.pcpartpicker.com/static/forever/images/product/393f3d73165045839334a1621040ee20.256p.jpg,ATX Mid Tower,Blue,Tempered Glass,2,None,45.5 L,4.5
Lian Li O11 Dynamic EVO XL,195.95,https://cdna.pcpartpicker.com/static/forever/images/product/1ec7a3be51497aa3abf33c2afcdbf5d0.256p.jpg,ATX Full Tower,Black,Tempered Glass,4,None,84.4 L,4.5
Corsair 3500X RS-R ARGB,69.98,https://cdna.pcpartpicker.com/static/forever/images/product/30802f7748080837c9135baf9b27f69c.256p.jpg,ATX Mid Tower,Black,Tempered Glass,2,None,55.9 L,4
