name,price,image,fan_rpm,noise_level,color,radiator_size,size,rating
Thermalright Peerless Assassin 120 SE,42.54,https://cdna.pcpartpicker.com/static/forever/images/product/3afac8c21d56648a54bd054502c7eae2.256p.jpg,1550 RPM,25.6 dB,Black,,,4.5
ARCTIC Liquid Freezer III Pro 360,79.9,https://cdna.pcpartpicker.com/static/forever/images/product/a0b2a92bb4ec2c95b5e492c9513b2c0b.256p.jpg,600 - 3000 RPM,Black,Black,360 mm,360 mm,4.5
Cooler Master Hyper 212 Black Edition,Out of stock£46.99Add,https://cdna.pcpartpicker.com/static/forever/images/product/716d4c601ae190184020710e098e7b36.256p.jpg,650 - 2000 RPM,6.5 - 26 dB,Black,,,4.5
Thermalright Aqua Elite V3,80.37,1500,1500 RPM,25.6 dB,Black,360 mm,360 mm,4.5
Corsair NAUTILUS 360 RS ARGB,100.99,https://cdna.pcpartpicker.com/static/forever/images/product/3dfb3eca3bd8bf176490b7955ae6345c.256p.jpg,2100 RPM,34 dB,Black,360 mm,360 mm,4.5
Thermalright Phantom Spirit 120 SE ARGB,50.61,1500,1500 RPM,25.6 dB,Black / Silver,,,4.5
ARCTIC Liquid Freezer III Pro A-RGB 360,74.98,https://cdna.pcpartpicker.com/static/forever/images/product/4b3cb378557216401dabfeb2bb0719e1.256p.jpg,600 - 3000 RPM,Black,Black,360 mm,360 mm,4.5
Thermalright Assassin X 120 Refined SE,Add,https://cdna.pcpartpicker.com/static/forever/images/product/29e78572835de73e133232c5e96c20e9.256p.jpg,1550 RPM,25.6 dB,Black / Silver,,,4.5
Thermalright Phantom Spirit 120 SE,44.99,https://cdna.pcpartpicker.com/static/forever/images/product/794ec9c0aa5dda6f170f3e442d992606.256p.jpg,1500 RPM,25.6 dB,Black,,,5
Noctua NH-D15 chromax.black,109.95,300,1500,300 - 1500 RPM,19.2 - 24.6 dB,Black,,,4.5
be quiet! Dark Rock Pro 5,75.98,https://cdna.pcpartpicker.com/static/forever/images/product/a0191a4cb06d0077eab9a260cc759c8b.256p.jpg,1300 - 2000 RPM,8.9 - 23.3 dB,Black,,,4.5
Thermalright Peerless Assassin 120 SE WHITE ARGB,39.42,https://cdna.pcpartpicker.com/static/forever/images/product/c09b33bf4c2452bbc71fac7691860f4a.256p.jpg,1550 RPM,25.6 dB,White,,,4.5
NZXT Kraken Elite 360 RGB (2024),235.97,https://cdna.pcpartpicker.com/static/forever/images/product/87647223e3478a0264b523d38ec982e1.256p.jpg,500 - 2400 RPM,30 dB,White,360 mm,360 mm,4
Noctua NH-L9A-AM5,39.95,https://cdna.pcpartpicker.com/static/forever/images/product/e34aa9b26728023fbd3919e021729b44.256p.jpg,600 - 2500 RPM,14.8 - 23.6 dB,Brown / Silver,,,4.5
ARCTIC Freezer 36,25.47,https://cdna.pcpartpicker.com/static/forever/images/product/7bdb6c4e1804ef5a5d9464722cdceb9f.256p.jpg,200 - 1800 RPM,Black,Black / Silver,,,4.5
