name,price,image,core_count,core_clock,boost_clock,microarchitecture,tdp,graphics,rating
AMD Ryzen 7 9800X3D,344.99,https://cdna.pcpartpicker.com/static/forever/images/product/7e2d17b7b777f8b56e1b5119aa97be20.1600.jpg,8,4.7 GHz,5.2 GHz,Zen 5,120 W,Radeon,4.5
AMD Ryzen 7 7800X3D,290,https://cdna.pcpartpicker.com/static/forever/images/product/e8e7d9593f6e2f60baf789cbfb94eb55.1600.jpg,8,4.2 GHz,5 GHz,Zen 4,120 W,Radeon,5
AMD Ryzen 5 9600X,164.99,https://cdna.pcpartpicker.com/static/forever/images/product/8a0df381931efb7323f458cfc42260f8.1600.jpg,6,3.9 GHz,5.4 GHz,Zen 5,65 W,Radeon,4.5
AMD Ryzen 5 5500,74.99,https://cdna.pcpartpicker.com/static/forever/images/product/49fca908d8863ded4df790bd3af6bc12.1600.jpg,6,3.6 GHz,4.2 GHz,Zen 3,65 W,None,4.5
AMD Ryzen 5 7600X,139.99,https://cdna.pcpartpicker.com/static/forever/images/product/fd6305088c9d16d59017b380fb9c408a.1600.jpg,6,4.7 GHz,5.3 GHz,Zen 4,105 W,Radeon,4.5
AMD Ryzen 9 9950X3D,479,https://cdna.pcpartpicker.com/static/forever/images/product/c091adac8120c424d3fcf03bec914302.1600.jpg,16,4.3 GHz,5.7 GHz,Zen 5,170 W,Radeon,4.5
AMD Ryzen 5 5600,124,https://cdna.pcpartpicker.com/static/forever/images/product/49fca908d8863ded4df790bd3af6bc12.1600.jpg,6,3.5 GHz,4.4 GHz,Zen 3,65 W,None,4.5
AMD Ryzen 7 7700X,189,https://cdna.pcpartpicker.com/static/forever/images/product/6d3fb7600f26fb1e94e8b0c1a99e0bfa.1600.jpg,8,4.5 GHz,5.4 GHz,Zen 4,105 W,Radeon,4.5
AMD Ryzen 5 5600X,119.99,https://cdna.pcpartpicker.com/static/forever/images/product/3ef757133d38ac40afe75da691ba7d60.1600.jpg,6,3.7 GHz,4.6 GHz,Zen 3,65 W,None,4.5
AMD Ryzen 7 9700X,239,https://cdna.pcpartpicker.com/static/forever/images/product/a0f5a161d8c7ff3c6b0827423537a029.1600.jpg,8,3.8 GHz,5.5 GHz,Zen 5,65 W,Radeon,4.5
AMD Ryzen 7 9850X3D,373.99,https://cdna.pcpartpicker.com/static/forever/images/product/26dbc0263d53e907355129f9e3131021.1600.jpg,8,4.7 GHz,5.6 GHz,Zen 5,120 W,Radeon,4.5
AMD Ryzen 7 5800X,179.99,https://cdna.pcpartpicker.com/static/forever/images/product/9b4cefb2e43f2c358f3a97a31e1be90b.1600.jpg,8,3.8 GHz,4.7 GHz,Zen 3,105 W,None,4.5
AMD Ryzen 9 9950X3D2,776.39,https://cdna.pcpartpicker.com/static/forever/images/product/c2478db9b5080594a0df3021f1064a52.1600.jpg,16,4.3 GHz,5.6 GHz,Zen 5,200 W,Radeon,4.5
AMD Ryzen 5 7600X3D,319.99,,6,4.1 GHz,4.7 GHz,Zen 4,65 W,Radeon,4.5
Intel Core Ultra 7 270K Plus,294.98,https://cdna.pcpartpicker.com/static/forever/images/product/c4b5624c89e3de4ef9eef2f2a3ae262d.1600.jpg,24,3.7 GHz,5.4 GHz,Arrow Lake,125 W,Intel Xe,3
AMD Ryzen 7 5700X,182.08,https://cdna.pcpartpicker.com/static/forever/images/product/a0931f2db7bb9c37a199429c85a0d2e1.1600.jpg,8,3.4 GHz,4.6 GHz,Zen 3,65 W,None,4.5
AMD Ryzen 5 7500F,137.99,,6,3.7 GHz,5 GHz,Zen 4,65 W,None,4.5
AMD Ryzen 9 9900X,296.86,https://cdna.pcpartpicker.com/static/forever/images/product/8148c56c91723188e32a508682fa9854.1600.jpg,12,4.4 GHz,5.6 GHz,Zen 5,120 W,Radeon,4.5
Intel Core i5-12400F,139.95,,6,2.5 GHz,4.4 GHz,Alder Lake,65 W,None,4.5
AMD Ryzen 7 5800X3D 10th Anniversary Edition,299.99,https://cdna.pcpartpicker.com/static/forever/images/product/6ba951057902cf10665e672f6537b501.1600.jpg,8,3.4 GHz,4.5 GHz,Zen 3,105 W,None,4.5
AMD Ryzen 5 3600,140.03,,6,3.6 GHz,4.2 GHz,Zen 2,65 W,None,4.5
AMD Ryzen 5 7500X3D,213.58,https://cdna.pcpartpicker.com/static/forever/images/product/e6fba40ca11c108409ebc9302b371457.1600.jpg,6,4 GHz,4.5 GHz,Zen 4,65 W,Radeon,5
Intel Core i5-14400F,162.99,https://cdna.pcpartpicker.com/static/forever/images/product/1a89e55daad13315da1822c1630dc26c.1600.jpg,10,2.5 GHz,4.7 GHz,Raptor Lake Refresh,65 W,None,4.5
Intel Core i7-14700K,349.99,https://cdna.pcpartpicker.com/static/forever/images/product/c3e5d01cec2fa20b6f47fe8a400c08d6.1600.jpg,20,3.4 GHz,5.6 GHz,Raptor Lake Refresh,125 W,Intel UHD Graphics 770,4.5
AMD Ryzen 7 5800X3D,413.99,https://cdna.pcpartpicker.com/static/forever/images/product/f83c6c4ee8cb5a6801f35aae5fc5d018.1600.jpg,8,3.4 GHz,4.5 GHz,Zen 3,105 W,None,4.5
AMD Ryzen 5 7600,164.99,https://cdna.pcpartpicker.com/static/forever/images/product/f0d757d712dd7145ecf00152653e5ec1.1600.jpg,6,3.8 GHz,5.1 GHz,Zen 4,65 W,Radeon,4.5
AMD Ryzen 7 5700,141.99,https://cdna.pcpartpicker.com/static/forever/images/product/5c2e33214954959b8fe3759699e29ad2.1600.jpg,8,3.7 GHz,4.6 GHz,Zen 3,65 W,None,5
Intel Core i9-14900K,431.97,https://cdna.pcpartpicker.com/static/forever/images/product/c9117c605854e9387e57cd69ebca2415.1600.jpg,24,3.2 GHz,6 GHz,Raptor Lake Refresh,125 W,Intel UHD Graphics 770,4.5
Intel Core Ultra 9 285K,502.99,https://cdna.pcpartpicker.com/static/forever/images/product/d658fbb8695607dc4964431e6b6b9373.1600.jpg,24,3.7 GHz,5.7 GHz,Arrow Lake,125 W,Intel Xe,4
AMD Ryzen 7 5800XT,219.99,https://cdna.pcpartpicker.com/static/forever/images/product/ce5ffddc2c5a21f074f6abcc6e972249.1600.jpg,8,3.8 GHz,4.8 GHz,Zen 3,105 W,None,4.5
AMD Ryzen 9 9950X,439.78,https://cdna.pcpartpicker.com/static/forever/images/product/53669af807496f1034349a25fc685672.1600.jpg,16,4.3 GHz,5.7 GHz,Zen 5,170 W,Radeon,4.5
Intel Core Ultra 5 250K Plus,203.62,https://cdna.pcpartpicker.com/static/forever/images/product/47414c72d8bdf9fe8b6e94a257f722cb.1600.jpg,18,4.2 GHz,5.3 GHz,Arrow Lake,125 W,Intel Xe,5
AMD Ryzen 5 5600G,149.99,https://cdna.pcpartpicker.com/static/forever/images/product/1dd09dfdc581be6224a323d49d714c7f.1600.jpg,6,3.9 GHz,4.4 GHz,Zen 3,65 W,Radeon Vega 7,4.5
Intel Core i5-12600KF,163.9,,10,3.7 GHz,4.9 GHz,Alder Lake,125 W,None,4.5
AMD Ryzen 9 7900X,249.99,https://cdna.pcpartpicker.com/static/forever/images/product/8de723005cfc1b85071c4abf4d76bd4e.1600.jpg,12,4.7 GHz,5.6 GHz,Zen 4,170 W,Radeon,4.5
AMD Ryzen 7 5700X3D,295.43,https://cdna.pcpartpicker.com/static/forever/images/product/7945bbda871bfbf95a9138fd184f4a6e.1600.jpg,8,3 GHz,4.1 GHz,Zen 3,105 W,None,4.5
Intel Core i5-14600K,230.49,https://cdna.pcpartpicker.com/static/forever/images/product/c8f65245aff45313f03aaad255078883.1600.jpg,14,3.5 GHz,5.3 GHz,Raptor Lake Refresh,125 W,Intel UHD Graphics 770,4.5
AMD Ryzen 5 8500G,114.99,https://cdna.pcpartpicker.com/static/forever/images/product/2a87a9a2a5a34b013ae637285470d93a.1600.jpg,6,4.1 GHz,5 GHz,Zen 4,65 W,Radeon 740M,4.5
Intel Core i7-12700KF,222.41,,12,3.6 GHz,5 GHz,Alder Lake,125 W,None,4.5
AMD Ryzen 7 3700X,195.99,,8,3.6 GHz,4.4 GHz,Zen 2,65 W,None,4.5
AMD Ryzen 5 8400F,125.99,https://cdna.pcpartpicker.com/static/forever/images/product/2c2a93ae222699dace151a0f718e21c0.1600.jpg,6,4.2 GHz,4.7 GHz,Zen 4,65 W,None,4
AMD Ryzen 9 5900XT,294.99,https://cdna.pcpartpicker.com/static/forever/images/product/36739b3a1511a7c493b2f987b43cd144.1600.jpg,16,3.3 GHz,4.8 GHz,Zen 3,105 W,None,5
AMD Ryzen 9 9900X3D,439.31,https://cdna.pcpartpicker.com/static/forever/images/product/990c9be284c611b84c6a33e9706b1efa.1600.jpg,12,4.4 GHz,5.5 GHz,Zen 5,120 W,Radeon,5
Intel Core Ultra 7 265KF,244.99,https://cdna.pcpartpicker.com/static/forever/images/product/fcf1376b4011b81307f2eb83fb68d582.1600.jpg,20,3.9 GHz,5.5 GHz,Arrow Lake,125 W,None,4.5
