name,price,image,capacity,interface,type,price_gb,color,rating
Apricorn Aegis Fortress L3,509.11,https://cdna.pcpartpicker.com/static/forever/images/product/c2466eb5b56ef38b04ecd3fd981faa73.256p.jpg,5000 GB,"USB Type-A 3.2 Gen 1, USB Type-C 3.2 Gen 1",Portable,£0.102,Black,0
Western Digital My Book Duo,,https://cdna.pcpartpicker.com/static/forever/images/product/79382e732eb79c802239d346232806dd.256p.jpg,44000 GB,"USB Type-A 3.2 Gen 1, USB Type-C 3.2 Gen 1",Desktop,,Black,0
Corsair EX400U,1594.99,https://cdna.pcpartpicker.com/static/forever/images/product/828b8a7dc129a36eab7452c860af056a.256p.jpg,4000 GB,USB Type-C 4.0 Gen 3x2,Portable,£0.399,Black,0
Western Digital WD_BLACK P10,222.35,https://cdna.pcpartpicker.com/static/forever/images/product/54c824b6d7b74a8c35f60f0f9353e05d.256p.jpg,5000 GB,USB Type-A 3.2 Gen 1,Portable,£0.044,Black,5
Seagate Expansion with Rescue Data Recovery Services,865.47,https://cdna.pcpartpicker.com/static/forever/images/product/3544aded28cecd5fd301acc3071a7ba2.256p.jpg,28000 GB,USB Type-A 3.2 Gen 1,Desktop,£0.031,,0
Western Digital ELEMENTS,93.85,https://cdna.pcpartpicker.com/static/forever/images/product/acfde8636e38895fef73b5643a6b8c8f.256p.jpg,1000 GB,USB Type-A 3.2 Gen 1,Portable,£0.094,,4.5
Seagate Expansion,679,https://cdna.pcpartpicker.com/static/forever/images/product/704607c7cef7b71442e6d4bd2b3eaad3.256p.jpg,24000 GB,USB Type-A 3.2 Gen 1,Desktop,£0.028,Black,0
Seagate Portable Drive,95.99,https://cdna.pcpartpicker.com/static/forever/images/product/2ffba05ad63c1e82cf86a4dbe3839112.256p.jpg,2000 GB,USB Type-A 3.2 Gen 1,Portable,£0.048,Black,0
Apricorn Padlock DT FIPS,1355.25,https://cdna.pcpartpicker.com/static/forever/images/product/458052bac4afb1692f9afd1e90bb2359.256p.jpg,22000 GB,USB Type-A 3.2 Gen 1,Desktop,£0.062,Black,0
Samsung T9 Portable,699,https://cdna.pcpartpicker.com/static/forever/images/product/9c7e7614e3d9f1ebff03ccc8af23721f.256p.jpg,4000 GB,USB Type-C 3.2 Gen 2x2,Portable,£0.175,Black,0
Apricorn Aegis Padlock 3.0,228.75,https://cdna.pcpartpicker.com/static/forever/images/product/b716dd94806d1123cc1350a5cd732261.256p.jpg,500 GB,USB Type-A 3.2 Gen 1,Portable,£0.458,Black,0
Samsung T5 EVO Portable,411.48,https://cdna.pcpartpicker.com/static/forever/images/product/e59e18d45f84834f029764bc2ff4c3cf.256p.jpg,4000 GB,USB Type-C 3.2 Gen 1,Portable,£0.103,Black,0
SanDisk Extreme Portable V2,159.99,https://cdna.pcpartpicker.com/static/forever/images/product/47b0f29ce9983baefd3004486a38c942.256p.jpg,1000 GB,USB Type-C 3.2 Gen 1,Portable,£0.160,Black / Orange,5
Western Digital My Passport,165.46,https://cdna.pcpartpicker.com/static/forever/images/product/a3ce06adf10c0085047493942c396d85.256p.jpg,4000 GB,USB Type-A 3.2 Gen 1,Portable,£0.041,Black,4.5
ADATA CH11,,https://cdna.pcpartpicker.com/static/forever/images/product/bade7f2875b86dc6cac4962d2507234d.256p.jpg,500 GB,USB Type-A 3.2 Gen 1,Portable,,,0
Crucial X10,470.03,https://cdna.pcpartpicker.com/static/forever/images/product/b8485858947a843c6f3275344ffec332.256p.jpg,4000 GB,USB Type-C 3.2 Gen 2x2,Portable,£0.118,Blue,0
SanDisk SDSSDT40-8T00-NA25,1799.99,https://cdna.pcpartpicker.com/static/forever/images/product/2a867ad8de3efd7ec5185780ab67fce9.256p.jpg,8000 GB,USB Type-C 3.2 Gen 2,Desktop,£0.225,Black,0
Samsung T7 Shield,562.79,https://cdna.pcpartpicker.com/static/forever/images/product/9535dcc9d6613903c9baef79bc12a852.256p.jpg,2000 GB,USB Type-C 3.2 Gen 2,Portable,£0.281,Black,0
Apricorn Aegis Fortress,,https://cdna.pcpartpicker.com/static/forever/images/product/e5395ec82eb740b850307629d26403e4.256p.jpg,16000 GB,USB Type-A 3.2 Gen 1,Portable,,Black,0
Seagate One Touch,182.67,https://cdna.pcpartpicker.com/static/forever/images/product/a3ab8ad288e6f94b6bed6d8b16b20048.256p.jpg,8000 GB,USB Type-A 3.2 Gen 1,Desktop,£0.023,Black,0
Samsung T7 Portable,297.66,https://cdna.pcpartpicker.com/static/forever/images/product/08192a87197a80158890051fbdc3469a.256p.jpg,2000 GB,USB Type-C 3.2 Gen 1,Portable,£0.149,Black / Silver,0
Western Digital My Book,475.03,https://cdna.pcpartpicker.com/static/forever/images/product/39dfd901c64d00e12e2a9ec873fc480a.256p.jpg,8000 GB,USB Type-A 3.2 Gen 1,Desktop,£0.059,Black,4.5
SanDisk Professional PRO-Blade Transport,704.53,https://cdna.pcpartpicker.com/static/forever/images/product/b8cca258925c2f095586670a3e2607c3.256p.jpg,4000 GB,USB Type-C 3.2 Gen 2x2,Portable,£0.176,Black,0
Western Digital Elements Portable,169,https://cdna.pcpartpicker.com/static/forever/images/product/6536017eba11759b60f279c18df6ddbf.256p.jpg,5000 GB,USB Type-A 3.2 Gen 1,Portable,£0.034,Black,0
Crucial X9,269.02,https://cdna.pcpartpicker.com/static/forever/images/product/a8189fe5af43080a57407f629beb3a3a.256p.jpg,2000 GB,USB Type-C 3.2 Gen 2,Portable,£0.135,Black,0
Western Digital WD_BLACK D10,419.92,https://cdna.pcpartpicker.com/static/forever/images/product/90a877442a10e9ace1615dcbc206995f.256p.jpg,8000 GB,USB Type-A 3.2 Gen 2,Desktop,£0.052,Black,0
Corsair EX100U,,https://cdna.pcpartpicker.com/static/forever/images/product/1fb9c6151730e5538c614d8705ce534c.256p.jpg,4000 GB,USB Type-C 3.2 Gen 2x2,Portable,,Black,0
TEAMGROUP M200,346.22,https://cdna.pcpartpicker.com/static/forever/images/product/7a3d854abb182237b0e59a3e0286ed43.256p.jpg,4000 GB,USB Type-C 3.2 Gen 2x2,Portable,£0.087,Black,0
Corsair EX400U SURVIVOR,398.16,https://cdna.pcpartpicker.com/static/forever/images/product/7de1b26686c13cab970fb8942b0fd7d2.256p.jpg,2000 GB,USB Type-C 4.0 Gen 3x2,Portable,£0.199,Black,0
Crucial X10 Pro,,,2000 GB,USB Type-C 3.2 Gen 2x2,Portable,,Black,0
Asus ROG Strix Arion S500,,https://cdna.pcpartpicker.com/static/forever/images/product/8d116ac01a6ced20b371f5c3291157b9.256p.jpg,500 GB,USB Type-C 3.2 Gen 2,Portable,,Black,0
Seagate Backup Plus,,https://cdna.pcpartpicker.com/static/forever/images/product/40206b14ba80836113d364bb877efcdf.256p.jpg,2000 GB,USB Type-A 3.2 Gen 1,Portable,,,4.5
Apricorn Aegis Padlock DT,622.75,,10000 GB,USB Type-A 3.2 Gen 1,Desktop,£0.062,Black,0
