web_scraper_order,web_scraper_start_url,pagination,name,channels,rating,price,channel_wattage,name3,pwm_(4-pin),form_factor,price2,color,channels2,channel_wattage2,pwm_(4-pin)2,color2,form_factor2,name2,name4
"1784223268-1","https://uk.pcpartpicker.com/products/fan-controller/","","ARCTIC Case Fan Hub","Channels10","(33)","£6.60Add","Channel Wattage","(33)","PWM (4-Pin)Yes","Form FactorInternal","Add","ColorBlack","Channels","Channel Wattage","PWM (4-Pin)","Color","Form Factor","https://cdna.pcpartpicker.com/static/forever/images/product/efadfdb330778f08668a183b3932948f.256p.jpg","https://cdna.pcpartpicker.com/static/forever/images/product/efadfdb330778f08668a183b3932948f.256p.jpg"
"1784223268-2","https://uk.pcpartpicker.com/products/fan-controller/","","Noctua NV-FH2","Channels8","(1)","£42.90Add","Channel Wattage","(1)","PWM (4-Pin)Yes","Form FactorInternal","Add","ColorBlack","Channels","Channel Wattage","PWM (4-Pin)","Color","Form Factor","https://cdna.pcpartpicker.com/static/forever/images/product/8f1b6e255d2c645d43fb2115a78ea164.256p.jpg","https://cdna.pcpartpicker.com/static/forever/images/product/8f1b6e255d2c645d43fb2115a78ea164.256p.jpg"
"1784223268-3","https://uk.pcpartpicker.com/products/fan-controller/","","Lian Li UNI HUB – SL Controller","Channels4","(3)","£22.99Add","Channel Wattage","(3)","PWM (4-Pin)Yes","Form FactorInternal","Add","ColorBlack","Channels","Channel Wattage","PWM (4-Pin)","Color","Form Factor","https://m.media-amazon.com/images/I/31iKOtbksqL.jpg","https://m.media-amazon.com/images/I/31iKOtbksqL.jpg"
"1784223268-4","https://uk.pcpartpicker.com/products/fan-controller/","","Noctua NA-FH1","Channels8","(7)","£31.08Add","Channel Wattage6 W","(7)","PWM (4-Pin)Yes","Form FactorInternal","Add","ColorBlack","Channels","Channel Wattage","PWM (4-Pin)","Color","Form Factor","https://m.media-amazon.com/images/I/41h0qQpQ5IL.jpg","https://m.media-amazon.com/images/I/41h0qQpQ5IL.jpg"
"1784223268-5","https://uk.pcpartpicker.com/products/fan-controller/","","NZXT RGB & Fan Controller (2022)","Channels3","(19)","£24.99Add","Channel Wattage36 W","(19)","PWM (4-Pin)Yes","Form FactorInternal","Add","ColorBlack","Channels","Channel Wattage","PWM (4-Pin)","Color","Form Factor","https://cdna.pcpartpicker.com/static/forever/images/product/84c5c9ec20981b5cc9958c9f2c3faecd.256p.jpg","https://cdna.pcpartpicker.com/static/forever/images/product/84c5c9ec20981b5cc9958c9f2c3faecd.256p.jpg"
"1784223268-6","https://uk.pcpartpicker.com/products/fan-controller/","","Thermalright TL-FAN and ARGB HUB x8","Channels4","(30)","Add","Channel Wattage","(30)","PWM (4-Pin)Yes","Form FactorInternal","Add","ColorBlack","Channels","Channel Wattage","PWM (4-Pin)","Color","Form Factor","https://cdna.pcpartpicker.com/static/forever/images/product/0fe563f978f6ca22fc4986657257b95e.256p.jpg","https://cdna.pcpartpicker.com/static/forever/images/product/0fe563f978f6ca22fc4986657257b95e.256p.jpg"
"1784223268-7","https://uk.pcpartpicker.com/products/fan-controller/","","Thermalright TL-FAN-HUB-Controller","Channels4","(0)","Add","Channel Wattage","(0)","PWM (4-Pin)Yes","Form FactorInternal","Add","ColorBlack","Channels","Channel Wattage","PWM (4-Pin)","Color","Form Factor","https://m.media-amazon.com/images/I/31KTmDgxDIL.jpg","https://m.media-amazon.com/images/I/31KTmDgxDIL.jpg"
"1784223268-8","https://uk.pcpartpicker.com/products/fan-controller/","","DARKROCK DR-FAN-CONTROLLER","Channels10","(0)","£39.29Add","Channel Wattage","(0)","PWM (4-Pin)Yes","Form FactorInternal","Add","ColorBlack","Channels","Channel Wattage","PWM (4-Pin)","Color","Form Factor","https://m.media-amazon.com/images/I/41H2cTfEV2L.jpg","https://m.media-amazon.com/images/I/41H2cTfEV2L.jpg"
"1784223268-9","https://uk.pcpartpicker.com/products/fan-controller/","","Cooler Master MasterFan ARGB and PWM HUB","Channels6","(0)","£35.13Add","Channel Wattage","(0)","PWM (4-Pin)Yes","Form FactorInternal","Add","ColorBlack","Channels","Channel Wattage","PWM (4-Pin)","Color","Form Factor","https://m.media-amazon.com/images/I/41hXNkuQvBL.jpg","https://m.media-amazon.com/images/I/41hXNkuQvBL.jpg"
"1784223268-10","https://uk.pcpartpicker.com/products/fan-controller/","","Razer RZ34-02140700-R3M1","Channels8","(1)","Out of stock£28.99Add","Channel Wattage","(1)","PWM (4-Pin)Yes","Form FactorInternal","Add","ColorBlack","Channels","Channel Wattage","PWM (4-Pin)","Color","Form Factor","https://cdna.pcpartpicker.com/static/forever/images/product/ab2043638e65519e544de947a22adfb3.256p.jpg","https://cdna.pcpartpicker.com/static/forever/images/product/ab2043638e65519e544de947a22adfb3.256p.jpg"
