web_scraper_order,web_scraper_start_url,data,price,data2,data3,data4,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,data19,data20,data21,data22,data23,data24,data25,data26,data27,data28,data29,data30,data31,data32,data33,image,image2,image3,image4
"1784224195-1","https://www.scan.co.uk/shop/computer-hardware/game-controllers/all","Razer Kishi for iPhone, Clickable Analog Thumbsticks, Pass Through Charging, Ultra-Low Latency Gameplay,Ergonomic Design","£29.99","LN126204","","Razer Kishi Gaming Controller for iPhone","Add To Basket","Razer Kishi for iPhone","Compare","Quick view","In stock","48hr","Clickable Analog Thumbsticks","Pass Through Charging","Ultra-Low Latency Gameplay","Ergonomic Design","","Get it Tomorrow, 17 Jul","Tomorrow, 17 Jul","Replacement","","99","Key Specifications","48hr","","Get it Tomorrow, 17 Jul","Tomorrow, 17 Jul","","","Get it Tomorrow, 17 Jul","Tomorrow, 17 Jul","Replacement","","No customer review","£","https://www.scan.co.uk/images/products/to/3419308.jpg","https://www.scan.co.uk/images/products/xlarge/3419308-xl-a.jpg","https://www.scan.co.uk/images/products/xlarge/3419308-xl-b.jpg","https://www.scan.co.uk/images/manufacturers/razer-logo.gif"
"1784224195-2","https://www.scan.co.uk/shop/computer-hardware/game-controllers/all","Razer Wolverine V3 Tournament Ed Controller, Mecha-Tactile Buttons, Razer HyperTrigger, Precision Thumbsticks, XBOX/PC","£84.49","LN149982","(1)","Razer Wolverine V3 Tournament Edition XBOX/PC Black Wired Esports Controller","Add To Basket","Razer Wolverine V3 Tournament Ed Controller","Compare","Quick view","In stock","48hr","Mecha-Tactile Buttons","Razer HyperTrigger","Precision Thumbsticks","XBOX/PC","","Get it Tomorrow, 17 Jul","Tomorrow, 17 Jul","Replacement","","49","Key Specifications","48hr","","Get it Tomorrow, 17 Jul","Tomorrow, 17 Jul","","","Get it Tomorrow, 17 Jul","Tomorrow, 17 Jul","Replacement","Customer Review","","£","https://www.scan.co.uk/images/products/to/3624955.jpg","https://www.scan.co.uk/images/products/xlarge/3624955-xl-a.jpg","https://www.scan.co.uk/images/products/xlarge/3624955-xl-b.jpg","https://www.scan.co.uk/images/manufacturers/razer-logo.gif"
"1784224195-3","https://www.scan.co.uk/shop/computer-hardware/game-controllers/all","Razer Wolverine V3 Pro Wireless Controller, Mecha-Tactile Buttons, Razer HyperTrigger, Precision Thumbsticks, XBOX/PC","£189.98","LN149983","(3)","Razer Wolverine V3 Pro XBOX/PC Black Wireless Esports Controller","Add To Basket","Razer Wolverine V3 Pro Wireless Controller","Compare","Quick view","In stock","48hr","Mecha-Tactile Buttons","Razer HyperTrigger","Precision Thumbsticks","XBOX/PC","","Get it Tomorrow, 17 Jul","Tomorrow, 17 Jul","Replacement","","98","Key Specifications","48hr","","Get it Tomorrow, 17 Jul","Tomorrow, 17 Jul","PayPal Credit options available","PAYPAL","Get it Tomorrow, 17 Jul","Tomorrow, 17 Jul","Replacement","Customer Review","","£","https://www.scan.co.uk/images/products/to/3624956.jpg","https://www.scan.co.uk/images/products/xlarge/3624956-xl-a.jpg","https://www.scan.co.uk/images/products/xlarge/3624956-xl-b.jpg","https://www.scan.co.uk/images/manufacturers/razer-logo.gif"
"1784224195-4","https://www.scan.co.uk/shop/computer-hardware/game-controllers/all","8BitDo Ultimate 2C Controller, Green, PC/Android, Wired, Hall Effect Joysticks and Triggers, Refined D-pad and Bumpers","£14.99","LN154461","","8BitDo Ultimate 2C Green Wired Controller Hall Effect for PC/Android","Pre Order","8BitDo Ultimate 2C Controller","Compare","Quick view","Pre order","","Green","PC/Android","Wired","Hall Effect Joysticks and Triggers","Refined D-pad and Bumpers","","","","","99","Key Specifications","","","","","","","","","","","No customer review","£","https://www.scan.co.uk/images/products/to/3662503.jpg","https://www.scan.co.uk/images/products/xlarge/3662503-xl-a.jpg","https://www.scan.co.uk/images/products/xlarge/3662503-xl-b.jpg","https://www.scan.co.uk/images/manufacturers/8bitdo.gif"
"1784224195-5","https://www.scan.co.uk/shop/computer-hardware/game-controllers/all","8BitDo Ultimate 2C Controller, Mint, PC/Android, Wired, Hall Effect Joysticks and Triggers, Refined D-pad and Bumpers","£14.99","LN154462","(1)","8BitDo Ultimate 2C Mint Wired Controller Hall Effect for PC/Android","Pre Order","8BitDo Ultimate 2C Controller","Compare","Quick view","Pre order","","Mint","PC/Android","Wired","Hall Effect Joysticks and Triggers","Refined D-pad and Bumpers","","","","","99","Key Specifications","","","","","","","","","","Customer Review","","£","https://www.scan.co.uk/images/products/to/3662505.jpg","https://www.scan.co.uk/images/products/xlarge/3662505-xl-a.jpg","https://www.scan.co.uk/images/products/xlarge/3662505-xl-b.jpg","https://www.scan.co.uk/images/manufacturers/8bitdo.gif"
"1784224195-6","https://www.scan.co.uk/shop/computer-hardware/game-controllers/all","8BitDo Ultimate 2C Controller, Purple, PC/Android, Wired, Hall Effect Joysticks and Triggers, Refined D-pad and Bumpers","£14.99","LN154460","","8BitDo Ultimate 2C Purple Wired Controller Hall Effect for PC/Android","Pre Order","8BitDo Ultimate 2C Controller","Compare","Quick view","Pre order","","Purple","PC/Android","Wired","Hall Effect Joysticks and Triggers","Refined D-pad and Bumpers","","","","","99","Key Specifications","","","","","","","","","","","No customer review","£","https://www.scan.co.uk/images/products/to/3662501.jpg","https://www.scan.co.uk/images/products/xlarge/3662501-xl-a.jpg","https://www.scan.co.uk/images/products/xlarge/3662501-xl-b.jpg","https://www.scan.co.uk/images/manufacturers/8bitdo.gif"
"1784224195-7","https://www.scan.co.uk/shop/computer-hardware/game-controllers/all","SteelSeries KontrolFreek Action Thumbsticks, Lotus Teal, Mid-Height, Textured, Clip-on, Xbox","£16.49","LN170044","","SteelSeries KontrolFreek Action Mid-Height Xbox Thumbsticks Lotus Edition","Add To Basket","SteelSeries KontrolFreek Action Thumbsticks","Compare","Quick view","In stock","","Lotus Teal","Mid-Height","Textured","Clip-on","Xbox","Get it Tomorrow, 17 Jul","Tomorrow, 17 Jul","","","49","Key Specifications","","","Get it Tomorrow, 17 Jul","Tomorrow, 17 Jul","","","Get it Tomorrow, 17 Jul","Tomorrow, 17 Jul","","","No customer review","£","https://www.scan.co.uk/images/products/to/3796923.jpg","https://www.scan.co.uk/images/products/xlarge/3796923-xl-a.jpg","https://www.scan.co.uk/images/products/xlarge/3796923-xl-b.jpg","https://www.scan.co.uk/images/manufacturers/kontrolfreek.gif"
"1784224195-8","https://www.scan.co.uk/shop/computer-hardware/game-controllers/all","SteelSeries KontrolFreek FPS Thumbsticks, Black, Dual-Height, Textured, Clip-on, PlayStation","£16.49","LN169801","","SteelSeries KontrolFreek FPS Dual-Height PlayStation Thumbsticks Galaxy Edition","Add To Basket","SteelSeries KontrolFreek FPS Thumbsticks","Compare","Quick view","In stock","","Black","Dual-Height","Textured","Clip-on","PlayStation","Get it Tomorrow, 17 Jul","Tomorrow, 17 Jul","","","49","Key Specifications","","","Get it Tomorrow, 17 Jul","Tomorrow, 17 Jul","","","Get it Tomorrow, 17 Jul","Tomorrow, 17 Jul","","","No customer review","£","https://www.scan.co.uk/images/products/to/3793658.jpg","https://www.scan.co.uk/images/products/xlarge/3793658-xl-a.jpg","https://www.scan.co.uk/images/products/xlarge/3793658-xl-b.jpg","https://www.scan.co.uk/images/manufacturers/kontrolfreek.gif"
"1784224195-9","https://www.scan.co.uk/shop/computer-hardware/game-controllers/all","SteelSeries KontrolFreek Universal Thumb Grips, Strawberry Sage, Non-Slip, Textured, Stretch-fit","£16.49","LN170043","","SteelSeries KontrolFreek Universal No-Slip Thumb Grips Strawberry Sage Edition","Add To Basket","SteelSeries KontrolFreek Universal Thumb Grips","Compare","Quick view","In stock","","Strawberry Sage","Non-Slip","Textured","Stretch-fit","","Get it Tomorrow, 17 Jul","Tomorrow, 17 Jul","","","49","Key Specifications","","","Get it Tomorrow, 17 Jul","Tomorrow, 17 Jul","","","Get it Tomorrow, 17 Jul","Tomorrow, 17 Jul","","","No customer review","£","https://www.scan.co.uk/images/products/to/3796922.jpg","https://www.scan.co.uk/images/products/xlarge/3796922-xl-a.jpg","https://www.scan.co.uk/images/products/xlarge/3796922-xl-b.jpg","https://www.scan.co.uk/images/manufacturers/kontrolfreek.gif"
"1784224195-10","https://www.scan.co.uk/shop/computer-hardware/game-controllers/all","8bitDo Offical Xbox Charging Dock, White, LED Charging Indicator, Magnetic Secure Charging, Storage Compartment","£24.98","LN154463","","8BitDo RET00477 Charging Dock for Xbox Wireless Controllers - White","Pre Order","8bitDo Offical Xbox Charging Dock","Compare","Quick view","Pre order","","White","LED Charging Indicator","Magnetic Secure Charging","Storage Compartment","","","","","","98","Key Specifications","","","","","","","","","","","No customer review","£","https://www.scan.co.uk/images/products/to/3662506.jpg","https://www.scan.co.uk/images/products/xlarge/3662506-xl-a.jpg","https://www.scan.co.uk/images/products/xlarge/3662506-xl-b.jpg","https://www.scan.co.uk/images/manufacturers/8bitdo.gif"
