name,price,image,type,frequency_response,microphone,wireless,enclosure_type,color,rating
HP HyperX Cloud II,61.99,https://cdna.pcpartpicker.com/static/forever/images/product/72a586f112591cd7b43f4b0dc244ba29.256p.jpg,Circumaural,15 Hz - 25 kHz,Yes,No,Closed,Black / Red,4.5
Bang &amp; Olufsen Beoplay H100,,,Circumaural,10 Hz - 40 kHz,Yes,Yes,Closed,Black / Silver,0
Razer BlackShark V2 X,39.97,https://cdna.pcpartpicker.com/static/forever/images/product/6bfd83b70242125dd19a098b04deb9e1.256p.jpg,Circumaural,12 Hz - 28 kHz,Yes,No,Closed,Black / Green,4.5
Corsair VOID WIRELESS v2,86.34,https://cdna.pcpartpicker.com/static/forever/images/product/8ab652b2c883c6c10c203145a938372c.256p.jpg,Circumaural,20 Hz - 20 kHz,Yes,Yes,Closed,Black,5
Logitech PRO X 2 LIGHTSPEED,124.99,https://cdna.pcpartpicker.com/static/forever/images/product/0654c2062080ded169e6bdc820f168eb.256p.jpg,Circumaural,20 Hz - 20 kHz,Yes,Yes,Closed,Black,4
"SteelSeries Arctis Nova Pro Wireless for PC, PS5, and PS4",241,https://cdna.pcpartpicker.com/static/forever/images/product/58e020a3f5cb57cf060804a8a9d1fd2f.256p.jpg,Circumaural,10 Hz - 40 kHz,Yes,Yes,Closed,Black,4
Razer BlackShark V3 Pro,209.97,https://cdna.pcpartpicker.com/static/forever/images/product/b715cf31b5b10d2220d46eee95b618ce.256p.jpg,Circumaural,20 Hz - 20 kHz,Yes,Yes,Closed,White,0
SteelSeries Arctis Nova Elite,569,https://cdna.pcpartpicker.com/static/forever/images/product/bb368c788e16ad879d59b7e89a42d30c.256p.jpg,Circumaural,10 Hz - 40 kHz,Yes,Yes,Closed,Black,0
Logitech Pro X,125.63,https://cdna.pcpartpicker.com/static/forever/images/product/98c362f214b36c4839d78dbdd517435f.256p.jpg,Circumaural,20 Hz - 20 kHz,Yes,Yes,Closed,Black,4.5
Logitech ASTRO A50 X,309.99,Circumaural,Circumaural,20 Hz - 20 kHz,Yes,Yes,Closed,Black,0
Beyerdynamic DT990 Pro Black Edition,175,https://cdna.pcpartpicker.com/static/forever/images/product/9a214c7e19a6b471989dcc8fdbb446f6.256p.jpg,Circumaural,5 Hz - 35 kHz,No,No,Open,Black,4.5
SteelSeries Arctis Nova 1,49.99,https://cdna.pcpartpicker.com/static/forever/images/product/fcdc7e701e4a83bfa2e0a2c208fcc4fa.256p.jpg,Circumaural,20 Hz - 22 kHz,Yes,No,Closed,Black,5
Sennheiser HD 560S,99,Circumaural,Circumaural,6 Hz - 38 kHz,No,No,Open,Black,4.5
Beyerdynamic DT 770 PRO,169.99,https://cdna.pcpartpicker.com/static/forever/images/product/5c8923ca7708bee1844feee595dfa13e.256p.jpg,Circumaural,5 Hz - 35 kHz,No,No,Closed,Gray,4.5
Sennheiser HD 820,2199.94,https://cdna.pcpartpicker.com/static/forever/images/product/b3204b6469f27f1d492ccae40feeaa3b.256p.jpg,Circumaural,6 Hz - 48 kHz,No,No,Closed,Black,0
HP HyperX Cloud Stinger 2,48.65,https://cdna.pcpartpicker.com/static/forever/images/product/7bf94380d643588f7a1fe55bd534d7ce.256p.jpg,Circumaural,10 Hz - 28 kHz,Yes,No,Closed,Black,0
Corsair Virtuoso RGB,119.99,https://cdna.pcpartpicker.com/static/forever/images/product/614f3f2375ec5c13f691e5176fb4c9d9.256p.jpg,Circumaural,20 Hz - 40 kHz,Yes,Yes,Closed,White,4.5
SteelSeries Arctis Nova 5,118.8,Circumaural,Circumaural,20 Hz - 22 kHz,Yes,Yes,Closed,Black,4.5
Audio-Technica ATH-AD2000X,849,Circumaural,Circumaural,5 Hz - 45 kHz,No,No,Open,Black,5
HP HyperX Cloud III,135.1,https://cdna.pcpartpicker.com/static/forever/images/product/576d5c1a4ebf8e3c3257b80942b772e9.256p.jpg,Circumaural,10 Hz - 21 kHz,Yes,Yes,Closed,Black / Red,5
Sennheiser HD 800 S,1999.95,https://cdna.pcpartpicker.com/static/forever/images/product/1db438a9e4b045ddb1efc5765b5c6c43.256p.jpg,Circumaural,4 Hz - 51 kHz,No,No,Open,Black / Silver,5
Asus ROG Delta II,210.99,https://cdna.pcpartpicker.com/static/forever/images/product/3769299d0d7af1ecfaf5ff3331e92601.256p.jpg,Circumaural,20 Hz - 20 kHz,Yes,Yes,Closed,Black,4
Sony WH-1000XM6,448,https://cdna.pcpartpicker.com/static/forever/images/product/b51e99887db4bbc9fb873f8e88257ddb.256p.jpg,Circumaural,4 Hz - 40 kHz,Yes,Yes,Closed,Black,0
Razer BlackShark V2 Pro (2023),134.99,https://cdna.pcpartpicker.com/static/forever/images/product/618882d7efe9284c652d8009ef9ae80c.256p.jpg,Circumaural,12 Hz - 28 kHz,Yes,Yes,Closed,Black,4.5
