name,price,image,style,backlit,connection_type,color,switch_type,tenkeyless,rating
Redragon K552,49.1,,Gaming,Red,Wired,Black,Outemu Blue,Yes,4.5
Logitech K120,24.42,https://cdna.pcpartpicker.com/static/forever/images/product/acaf1664d5bee7d6eaca0eeab94a3aff.256p.jpg,Standard,None,Wired,Black,,No,4
Redragon K582 SURARA,49.99,,Gaming,RGB,Wired,Black,Outemu Red,No,4.5
Razer Huntsman V3 Pro,172.56,https://cdna.pcpartpicker.com/static/forever/images/product/cd5579d337b2519193ac2930a6641c32.256p.jpg,Gaming,RGB,Wired,Black,Razer Analog Optical Switch Gen-2,Yes,5
Asus ROG Azoth Extreme,540.41,,Gaming,RGB,"Wired, Wireless, Bluetooth Wireless",Black,ROG NX Snow,Yes,0
Razer Huntsman Mini,78.94,https://cdna.pcpartpicker.com/static/forever/images/product/1411d2ffe69ca84f0c740ee5d0df4a0e.256p.jpg,Mini,RGB,Wired,White,Razer Purple Optical Clicky,Yes,4.5
Corsair K65 PLUS,173.26,https://cdna.pcpartpicker.com/static/forever/images/product/b034fa9668fb7ffb8938abb5cb026afd.256p.jpg,Gaming,RGB,"Wired, Wireless",Black,Corsair MLX Red Linear,Yes,4.5
SteelSeries Apex 3 TKL RGB,55.62,,Gaming,RGB,Wired,Black,,Yes,4
Microsoft WTA-00001,,,Ergonomic,None,Wireless,Black / Silver,,No,0
Logitech G413 SE,62.77,https://cdna.pcpartpicker.com/static/forever/images/product/d0d7c6853ed9714b67e0f139164be210.256p.jpg,Gaming,White,Wired,Black,Kailh LT Brown,Yes,4.5
Asus ROG Strix Scope II 96,173.39,https://cdna.pcpartpicker.com/static/forever/images/product/3feedf17fef852f22241b1f3797e5404.256p.jpg,Gaming,RGB,"Wired, Wireless, Bluetooth Wireless",Black,ROG NX Snow,No,5
SteelSeries Apex Pro Gen 3,279,https://cdna.pcpartpicker.com/static/forever/images/product/fdc5104860be52547f35e4fdc377061a.256p.jpg,Gaming,RGB,"Wired, Wireless, Bluetooth Wireless",Black,OmniPoint 3.0,Yes,0
Wooting Two HE,,,Gaming,RGB,Wired,Black,Lekker linear60,No,4
Corsair Galleon 100 SD,310.27,https://cdna.pcpartpicker.com/static/forever/images/product/3628e7432efec4a3fd9804055027620d.256p.jpg,Gaming,RGB,Wired,Black,Corsair MLX PULSE,No,5
Logitech PRO X,,https://cdna.pcpartpicker.com/static/forever/images/product/129d4f938d97bffb7d520cb07439e29c.256p.jpg,Gaming,RGB,"Wired, Wireless, Bluetooth Wireless",White,Logitech GX Brown Tactile,Yes,5
HP HyperX Alloy Core,61.97,https://cdna.pcpartpicker.com/static/forever/images/product/bf808ec87400505de7245845b3131047.256p.jpg,Gaming,RGB,Wired,Black,,No,4.5
G.Skill KM360,64.01,https://cdna.pcpartpicker.com/static/forever/images/product/ae92350f8cd861ba22f97c0e5ae81594.256p.jpg,Standard,White,Wired,White,Cherry MX Red,Yes,4.5
Logitech G19,,,Standard,Multicolor,Wired,Black,,No,4
Logitech G915 X LIGHTSPEED,228.46,https://cdna.pcpartpicker.com/static/forever/images/product/29b6a8a9fb71ca7312be089a2dec4b90.256p.jpg,Gaming,RGB,"Wired, Wireless, Bluetooth Wireless",Black,Logitech Low-Profile GL Linear,No,0
