name,price,image,capacity,interface,type,form_factor,cache,price_gb,rating
Seagate Barracuda Compute,103.94,https://cdna.pcpartpicker.com/static/forever/images/product/c7b5b7dacbecdcdd0e073b761193eef6.256p.jpg,2 TB,SATA 6.0 Gb/s,7200 RPM,"3.5""",256 MB,£0.052,4.5
Seagate BarraCuda,163.94,https://cdna.pcpartpicker.com/static/forever/images/product/f2b81ef4f53b4566edfd5a5c7c60977d.256p.jpg,4 TB,SATA 6.0 Gb/s,5400 RPM,"3.5""",256 MB,£0.041,4.5
Seagate Exos M,1225.47,https://cdna.pcpartpicker.com/static/forever/images/product/440b6d462c8e9b8f8d3f2eba0892424a.256p.jpg,30 TB,SATA 6.0 Gb/s,7200 RPM,"3.5""",,£0.041,0
Western Digital Caviar Blue,83,https://cdna.pcpartpicker.com/static/forever/images/product/daf819b70eccf7fec275bd65e3fe2b6a.256p.jpg,1 TB,SATA 6.0 Gb/s,7200 RPM,"3.5""",64 MB,£0.083,4.5
Western Digital Blue,120.99,https://cdna.pcpartpicker.com/static/forever/images/product/0b9bfd76b0d511a6eff3730d12d5f95c.256p.jpg,2 TB,SATA 6.0 Gb/s,7200 RPM,"3.5""",256 MB,£0.060,4.5
Western Digital AV-GP,29.99,,500 GB,SATA 3.0 Gb/s,5400 RPM,"3.5""",32 MB,£0.060,4
Seagate IronWolf Pro,1077.68,https://cdna.pcpartpicker.com/static/forever/images/product/e229dfd55b9560dd810a8a830995c2b8.256p.jpg,30 TB,SATA 6.0 Gb/s,7200 RPM,"3.5""",512 MB,£0.036,5
Seagate SuperSpeed HDD,,https://cdna.pcpartpicker.com/static/forever/images/product/a0ef92b25c25a567557dbae1cb3ebed0.256p.jpg,1 TB,SATA 6.0 Gb/s,Hybrid,"2.5""",64 MB,,4.5
Seagate IronWolf NAS,290.92,https://cdna.pcpartpicker.com/static/forever/images/product/46ed2866892f9106dd92eb39059f970a.256p.jpg,8 TB,SATA 6.0 Gb/s,7200 RPM,"3.5""",256 MB,£0.036,5
Western Digital WD_BLACK,479.93,https://cdna.pcpartpicker.com/static/forever/images/product/8fb58c4077beaad4862ae568730a61b6.256p.jpg,10 TB,SATA 6.0 Gb/s,7200 RPM,"3.5""",512 MB,£0.048,5
Seagate Surveillance HDD,,https://cdna.pcpartpicker.com/static/forever/images/product/34bc14397597ba5761022af2ee05cd12.256p.jpg,8 TB,SATA 6.0 Gb/s,7200 RPM,"3.5""",256 MB,,0
Western Digital Red Plus,404.76,https://cdna.pcpartpicker.com/static/forever/images/product/671f55c6444846cc12b2381747520883.256p.jpg,10 TB,SATA 6.0 Gb/s,7200 RPM,"3.5""",512 MB,£0.040,0
Seagate IronWolf Pro NAS,605.47,https://cdna.pcpartpicker.com/static/forever/images/product/e352117b6f8a568f0bed5452b16d922e.256p.jpg,16 TB,SATA 6.0 Gb/s,7200 RPM,"3.5""",256 MB,£0.038,5
Toshiba DT01ACA050,39.99,https://cdna.pcpartpicker.com/static/forever/images/product/9737d8cec44333aee732aeea7c7d79e7.256p.jpg,500 GB,SATA 6.0 Gb/s,7200 RPM,"3.5""",32 MB,£0.080,4.5
Western Digital VelociRaptor,100,,1 TB,SATA 6.0 Gb/s,10000 RPM,"2.5""",64 MB,£0.100,5
Western Digital Green,172,https://cdna.pcpartpicker.com/static/forever/images/product/1ccf660fad92f9a049980e2c14de0bf7.256p.jpg,4 TB,SATA 6.0 Gb/s,5900 RPM,"3.5""",64 MB,£0.043,4.5
Hitachi HDS723030ALA640,165.59,,3 TB,SATA 6.0 Gb/s,7200 RPM,"3.5""",64 MB,£0.055,4
Seagate ST500LM021,30.5,https://cdna.pcpartpicker.com/static/forever/images/product/923df78bd39bd4f885f4f98a36930223.256p.jpg,500 GB,SATA 6.0 Gb/s,7200 RPM,"2.5""",32 MB,£0.061,4.5
