name,overclockers_co_uk_price,box_co_uk_price,ebuyer_com_price,amazon_co_uk_price,cclonline_com_price,novatech_co_uk_price,awd_it_co_uk_price,aria_co_uk_price,lambda_tek_com_price,morecomputers_com_price,watercoolinguk_co_uk_price,price_sources,average_price,image
AMD Ryzen 5 7600X,,,,,,,,,,,,1,99.00,thumbnails/master-prices_amd_ryzen_5_7600x.jpg
AMD Ryzen 7 9800X3D,,,,,,,,,,,,1,99.00,thumbnails/master-prices_amd_ryzen_7_9800x3d.png
AMD Ryzen 7 7800X3D,,,,,,,,,,,,1,99.00,thumbnails/master-prices_amd_ryzen_7_7800x3d.jpg
AMD Ryzen 5 9600X,,,,,,,,,,,,1,99.00,thumbnails/master-prices_amd_ryzen_5_9600x.jpg
AMD Ryzen 9 9950X3D,,,,,,,,,,,,1,99.00,thumbnails/master-prices_amd_ryzen_9_9950x3d.jpg
AMD Ryzen 7 7700X,,,,,,,,,,,,1,99.00,thumbnails/master-prices_amd_ryzen_7_7700x.jpg
AMD Ryzen 7 9850X3D,,,,,,,,,,,,1,99.00,thumbnails/master-prices_amd_ryzen_7_9850x3d.jpg
AMD Ryzen 7 9700X,,,,,,,,,,,,1,99.00,thumbnails/master-prices_amd_ryzen_7_9700x.jpg
AMD Ryzen 9 9950X3D2,,,,,,,,,,,,1,99.00,thumbnails/master-prices_amd_ryzen_9_9950x3d2.jpg
AMD Ryzen 5 7500F,,,,,,,,,,,,1,99.00,thumbnails/master-prices_amd_ryzen_5_7500f.jpg
AMD Ryzen 9 9900X,,,,,,,,,,,,1,99.00,thumbnails/master-prices_amd_ryzen_9_9900x.jpg
AMD Ryzen 5 7500X3D,,,,,,,,,,,,1,99.00,thumbnails/master-prices_amd_ryzen_5_7500x3d.jpg
AMD Ryzen 5 7600,,,,,,,,,,,,1,99.00,thumbnails/master-prices_amd_ryzen_5_7600.jpg
AMD Ryzen 9 9950X,,,,,,,,,,,,1,99.00,thumbnails/master-prices_amd_ryzen_9_9950x.jpg
AMD Ryzen 9 7900X,,,,,,,,,,,,1,99.00,thumbnails/master-prices_amd_ryzen_9_7900x.jpg
AMD Ryzen 5 7600X3D,,,,,,,,,,,,1,99.00,thumbnails/master-prices_amd_ryzen_5_7600x3d.jpg
AMD Ryzen 5 8500G,,,,,,,,,,,,1,99.00,thumbnails/master-prices_amd_ryzen_5_8500g.jpg
AMD Ryzen 9 9900X3D,,,,,,,,,,,,1,99.00,thumbnails/master-prices_amd_ryzen_9_9900x3d.jpg
AMD Ryzen 5 8400F,,,,,,,,,,,,1,99.00,thumbnails/master-prices_amd_ryzen_5_8400f.jpg
AMD Ryzen 7 7700,,,,,,,,,,,,1,99.00,thumbnails/master-prices_amd_ryzen_7_7700.jpg
AMD Ryzen 7 8700G,,,,,,,,,,,,1,99.00,thumbnails/master-prices_amd_ryzen_7_8700g.jpg
AMD Ryzen 7 8700F,,,,,,,,,,,,1,99.00,thumbnails/master-prices_amd_ryzen_7_8700f.jpg
AMD Ryzen 5 8600G,,,,,,,,,,,,1,99.00,thumbnails/master-prices_amd_ryzen_5_8600g.jpg
AMD Ryzen 9 7950X3D,,,,,,,,,,,,1,99.00,thumbnails/master-prices_amd_ryzen_9_7950x3d.jpg
AMD Ryzen 9 7950X,,,,,,,,,,,,1,99.00,thumbnails/master-prices_amd_ryzen_9_7950x.jpg
AMD Ryzen 9 7900,,,,,,,,,,,,1,99.00,thumbnails/master-prices_amd_ryzen_9_7900.jpg
AMD Ryzen 9 7900X3D,,,,,,,,,,,,1,99.00,thumbnails/master-prices_amd_ryzen_9_7900x3d.jpg
AMD Ryzen 5 9600,,,,,,,,,,,,1,99.00,thumbnails/master-prices_amd_ryzen_5_9600.jpg
AMD Ryzen 5 7400F,,,,,,,,,,,,1,99.00,thumbnails/master-prices_amd_ryzen_5_7400f.jpg
AMD Ryzen 9 PRO 7945,,,,,,,,,,,,1,99.00,thumbnails/master-prices_amd_ryzen_9_pro_7945.jpg
AMD Ryzen 5 PRO 7645,,,,,,,,,,,,1,99.00,thumbnails/master-prices_amd_ryzen_5_pro_7645.jpg
AMD Ryzen 7 PRO 7745,,,,,,,,,,,,1,99.00,thumbnails/master-prices_amd_ryzen_7_pro_7745.jpg
AMD Ryzen 5 9500F,,,,,,,,,,,,1,99.00,thumbnails/master-prices_amd_ryzen_5_9500f.jpg
AMD Ryzen 7 9700F,,,,,,,,,,,,1,99.00,thumbnails/master-prices_amd_ryzen_7_9700f.jpg
AMD Ryzen 9 PRO 9945,,,,,,,,,,,,1,99.00,thumbnails/master-prices_amd_ryzen_9_pro_9945.jpg
AMD Ryzen 5 7400,,,,,,,,,,,,1,99.00,thumbnails/master-prices_amd_ryzen_5_7400.jpg
AMD Ryzen 5 PRO 7445,,,,,,,,,,,,1,99.00,thumbnails/master-prices_amd_ryzen_5_pro_7445.jpg
AMD Ryzen 5 PRO 9645,,,,,,,,,,,,1,99.00,thumbnails/master-prices_amd_ryzen_5_pro_9645.jpg
AMD Ryzen 7 PRO 9745,,,,,,,,,,,,1,99.00,thumbnails/master-prices_amd_ryzen_7_pro_9745.jpg
AMD Ryzen 5 5500,,,,,,,,,,,,1,99.00,thumbnails/master-prices_amd_ryzen_5_5500.jpg
AMD Ryzen 5 5600X,,,,,,,,,,,,1,99.00,thumbnails/master-prices_amd_ryzen_5_5600x.jpg
AMD Ryzen 5 5600,,,,,,,,,,,,1,99.00,thumbnails/master-prices_amd_ryzen_5_5600.jpg
AMD Ryzen 7 5800X,,,,,,,,,,,,1,99.00,thumbnails/master-prices_amd_ryzen_7_5800x.jpg
Intel Core i7-14700K,,,,,,,,,,,,1,99.00,thumbnails/master-prices_intel_core_i7_14700k.jpg
Intel Core i9-14900K,,,,,,,,,,,,1,99.00,thumbnails/master-prices_intel_core_i9_14900k.jpg
Intel Core i5-12400F,,,,,,,,,,,,1,99.00,thumbnails/master-prices_intel_core_i5_12400f.jpg
AMD Ryzen 5 3600,,,,,,,,,,,,1,99.00,thumbnails/master-prices_amd_ryzen_5_3600.jpg
AMD Ryzen 7 5700X,,,,,,,,,,,,1,99.00,thumbnails/master-prices_amd_ryzen_7_5700x.jpg
Intel Core i5-14600K,,,,,,,,,,,,1,99.00,thumbnails/master-prices_intel_core_i5_14600k.jpg
Intel Core Ultra 7 265K,,,,,,,,,,,,1,99.00,thumbnails/master-prices_intel_core_ultra_7_265k.jpg
AMD Ryzen 7 5700X3D,,,,,,,,,,,,1,99.00,thumbnails/master-prices_amd_ryzen_7_5700x3d.jpg
Intel Core i5-14400F,,,,,,,,,,,,1,99.00,thumbnails/master-prices_intel_core_i5_14400f.jpg
AMD Ryzen 7 5800XT,,,,,,,,,,,,1,99.00,thumbnails/master-prices_amd_ryzen_7_5800xt.jpg
Intel Core Ultra 9 285K,,,,,,,,,,,,1,99.00,thumbnails/master-prices_intel_core_ultra_9_285k.jpg
Intel Core i7-12700K,,,,,,,,,,,,1,99.00,thumbnails/master-prices_intel_core_i7_12700k.jpg
AMD Ryzen 5 5600G,,,,,,,,,,,,1,99.00,thumbnails/master-prices_amd_ryzen_5_5600g.png
Intel Core i5-13400F,,,,,,,,,,,,1,99.00,thumbnails/master-prices_intel_core_i5_13400f.jpg
Intel Core i7-12700KF,,,,,,,,,,,,1,99.00,thumbnails/master-prices_intel_core_i7_12700kf.jpg
AMD Ryzen 9 5900X,139.99,,,,,,,,,,,1,139.99,thumbnails/master-prices_amd_ryzen_9_5900x.jpg
AMD Ryzen 7 3700X,,,,,,,,,,,,1,99.00,thumbnails/master-prices_amd_ryzen_7_3700x.jpg
Intel Core i5-12600KF,,,,,,,,,,,,1,99.00,thumbnails/master-prices_intel_core_i5_12600kf.jpg
AMD Threadripper 3990X,,,,,,,,,,,,1,99.00,thumbnails/master-prices_amd_threadripper_3990x.jpg
Intel Core i5-12600K,,,,,,,,,,,,1,99.00,thumbnails/master-prices_intel_core_i5_12600k.jpg
AMD Ryzen 7 5700G,,,,,,,,,,,,1,99.00,thumbnails/master-prices_amd_ryzen_7_5700g.jpg
AMD Ryzen 9 5950X,,,,,,,,,,,,1,99.00,thumbnails/master-prices_amd_ryzen_9_5950x.jpg
AMD Ryzen 7 5800X3D,,,,,,,,,,,,1,99.00,thumbnails/master-prices_amd_ryzen_7_5800x3d.jpg
Intel Core i3-12100F,,,,,,,,,,,,1,99.00,thumbnails/master-prices_intel_core_i3_12100f.jpg
Intel Core i5-14600KF,,,,,,,,,,,,1,99.00,thumbnails/master-prices_intel_core_i5_14600kf.jpg
AMD Ryzen 5 4500,,,,,,,,,,,,1,99.00,thumbnails/master-prices_amd_ryzen_5_4500.jpg
AMD Ryzen 7 5700,,,,,,,,,,,,1,99.00,thumbnails/master-prices_amd_ryzen_7_5700.jpg
Intel Core i7-14700KF,,,,,,,,,,,,1,99.00,thumbnails/master-prices_intel_core_i7_14700kf.jpg
Intel Core i9-12900K,,,,,,,,,,,,1,99.00,thumbnails/master-prices_intel_core_i9_12900k.jpg
Intel Core Ultra 7 265KF,,,,,,,,,,,,1,99.00,thumbnails/master-prices_intel_core_ultra_7_265kf.jpg
Intel Core i9-14900KF,,,,,,,,,,,,1,99.00,thumbnails/master-prices_intel_core_i9_14900kf.jpg
Intel Core i7-13700K,,,,,,,,,,,,1,99.00,thumbnails/master-prices_intel_core_i7_13700k.jpg
Intel Core i5-10400F,,,,,,,,,,,,1,99.00,thumbnails/master-prices_intel_core_i5_10400f.jpg
AMD Ryzen 5 2600,,,,,,,,,,,,1,99.00,thumbnails/master-prices_amd_ryzen_5_2600.jpg
