web_scraper_order,web_scraper_start_url,pagination,name,screen_size,resolution,rating,price,refresh_rate,response_time_(g2g),panel_type,name3,aspect_ratio,price2,price3,price4,screen_size2,resolution2,response_time_(g2g)2,panel_type2,aspect_ratio2,refresh_rate2,name2,name4
"1784222521-1","https://uk.pcpartpicker.com/products/monitor/","","MSI MAG 244F","Screen Size23.8""","Resolution1920 x 1080","(2)","Add","Refresh Rate200 Hz","Response Time (G2G)0.5 ms","Panel TypeIPS","(2)","Aspect Ratio16:9","Add","","","Screen Size","Resolution","Response Time (G2G)","Panel Type","Aspect Ratio","Refresh Rate","https://cdna.pcpartpicker.com/static/forever/images/product/d0a827405020c824617ca5b9f4155b8a.256p.jpg","https://cdna.pcpartpicker.com/static/forever/images/product/d0a827405020c824617ca5b9f4155b8a.256p.jpg"
"1784222521-2","https://uk.pcpartpicker.com/products/monitor/","","Asus TUF Gaming VG259QM5A","Screen Size24.5""","Resolution1920 x 1080","(1)","£118.99Add","Refresh Rate240 Hz","Response Time (G2G)0.03 ms","Panel TypeIPS","(1)","Aspect Ratio16:9","Add","","","Screen Size","Resolution","Response Time (G2G)","Panel Type","Aspect Ratio","Refresh Rate","https://m.media-amazon.com/images/I/410otI10MnL.jpg","https://m.media-amazon.com/images/I/410otI10MnL.jpg"
"1784222521-3","https://uk.pcpartpicker.com/products/monitor/","","MSI MAG 275QF","Screen Size27.0""","Resolution2560 x 1440","(16)","£149.00Add","Refresh Rate180 Hz","Response Time (G2G)0.5 ms","Panel TypeIPS","(16)","Aspect Ratio16:9","Add","","","Screen Size","Resolution","Response Time (G2G)","Panel Type","Aspect Ratio","Refresh Rate","https://cdna.pcpartpicker.com/static/forever/images/product/57207990ab73d40707fd5756f9680995.256p.jpg","https://cdna.pcpartpicker.com/static/forever/images/product/57207990ab73d40707fd5756f9680995.256p.jpg"
"1784222521-4","https://uk.pcpartpicker.com/products/monitor/","","Asus ROG Swift OLED PG32UCDM","Screen Size31.5""","Resolution3840 x 2160","(6)","Add","Refresh Rate240 Hz","Response Time (G2G)0.03 ms","Panel TypeQD-OLED","(6)","Aspect Ratio16:9","Add","","","Screen Size","Resolution","Response Time (G2G)","Panel Type","Aspect Ratio","Refresh Rate","https://cdna.pcpartpicker.com/static/forever/images/product/d835718847c1c4cec8da0a0542002b8d.256p.jpg","https://cdna.pcpartpicker.com/static/forever/images/product/d835718847c1c4cec8da0a0542002b8d.256p.jpg"
"1784222521-5","https://uk.pcpartpicker.com/products/monitor/","","Acer Acer Nitro XV272U W2bmiiprx","Screen Size27.0""","Resolution2560 x 1440","(8)","Add","Refresh Rate240 Hz","Response Time (G2G)1 ms","Panel TypeIPS","(8)","Aspect Ratio16:9","Add","","","Screen Size","Resolution","Response Time (G2G)","Panel Type","Aspect Ratio","Refresh Rate","https://m.media-amazon.com/images/I/41yr+5P84JL.jpg","https://m.media-amazon.com/images/I/41yr+5P84JL.jpg"
"1784222521-6","https://uk.pcpartpicker.com/products/monitor/","","Asus ROG Swift OLED PG27AQWP-W","Screen Size27.0""","Resolution2560 x 1440","(0)","£948.98Add","Refresh Rate540 Hz","Response Time (G2G)0.02 ms","Panel TypeWOLED","(0)","Aspect Ratio16:9","Add","","","Screen Size","Resolution","Response Time (G2G)","Panel Type","Aspect Ratio","Refresh Rate","https://cdna.pcpartpicker.com/static/forever/images/product/cf681d3408aba584c7050c8b7ae304a0.256p.jpg","https://cdna.pcpartpicker.com/static/forever/images/product/cf681d3408aba584c7050c8b7ae304a0.256p.jpg"
"1784222521-7","https://uk.pcpartpicker.com/products/monitor/","","Asus ProArt Display PA32KCX","Screen Size32.0""","Resolution7680 x 4320","(0)","Add","Refresh Rate60 Hz","Response Time (G2G)5 ms","Panel TypeIPS QD-Mini LED","(0)","Aspect Ratio16:9","Add","","","Screen Size","Resolution","Response Time (G2G)","Panel Type","Aspect Ratio","Refresh Rate","https://cdna.pcpartpicker.com/static/forever/images/product/26724784f183f5578950f1da0ec4fec7.256p.jpg","https://cdna.pcpartpicker.com/static/forever/images/product/26724784f183f5578950f1da0ec4fec7.256p.jpg"
"1784222521-8","https://uk.pcpartpicker.com/products/monitor/","","MSI MAG 274QF X24","Screen Size27.0""","Resolution2560 x 1440","(0)","£138.94Add","Refresh Rate240 Hz","Response Time (G2G)0.5 ms","Panel TypeIPS","(0)","Aspect Ratio16:9","Add","","","Screen Size","Resolution","Response Time (G2G)","Panel Type","Aspect Ratio","Refresh Rate","https://cdna.pcpartpicker.com/static/forever/images/product/b5c4fca06c65523fe921ab019259cd9a.256p.jpg","https://cdna.pcpartpicker.com/static/forever/images/product/b5c4fca06c65523fe921ab019259cd9a.256p.jpg"
"1784222521-9","https://uk.pcpartpicker.com/products/monitor/","","LG UltraGear G6 27G610A-B","Screen Size27.0""","Resolution2560 x 1440","(2)","£169.00Add","Refresh Rate200 Hz","Response Time (G2G)1 ms","Panel TypeIPS","(2)","Aspect Ratio16:9","Add","","","Screen Size","Resolution","Response Time (G2G)","Panel Type","Aspect Ratio","Refresh Rate","https://cdna.pcpartpicker.com/static/forever/images/product/1ccdf63042992ee1b4b10574017584fe.256p.jpg","https://cdna.pcpartpicker.com/static/forever/images/product/1ccdf63042992ee1b4b10574017584fe.256p.jpg"
"1784222521-10","https://uk.pcpartpicker.com/products/monitor/","","Asus ROG Strix OLED XG27AQDMES","Screen Size26.5""","Resolution2560 x 1440","(1)","£349.00Add","Refresh Rate240 Hz","Response Time (G2G)0.03 ms","Panel TypeQD-OLED","(1)","Aspect Ratio16:9","Add","","","Screen Size","Resolution","Response Time (G2G)","Panel Type","Aspect Ratio","Refresh Rate","https://cdna.pcpartpicker.com/static/forever/images/product/762d17eba89e92d157af00c2e6d3a6e0.256p.jpg","https://cdna.pcpartpicker.com/static/forever/images/product/762d17eba89e92d157af00c2e6d3a6e0.256p.jpg"
