name,price,image,connection_type,color,maximum_dpi,tracking_method,hand_orientation,rating
Logitech G305 LIGHTSPEED,42.98,https://cdna.pcpartpicker.com/static/forever/images/product/0041ec7f09c5b96850347e2254991f73.256p.jpg,Wireless,Black,12000,Optical,Right,4.5
Logitech PRO X2 SUPERSTRIKE,,https://cdna.pcpartpicker.com/static/forever/images/product/eeb57a9b46ded9924512a55a6c76c27b.256p.jpg,"Wired, Wireless",White / Black,44000,Optical,Right,5
Logitech G502 Hero,43.47,https://cdna.pcpartpicker.com/static/forever/images/product/125c1da538a8704be799ef12a506e177.256p.jpg,Wired,Black,25600,Optical,Right,4.5
Razer Basilisk V3,41.44,https://cdna.pcpartpicker.com/static/forever/images/product/d662cc7b90e3fd45502f7c77d9b54269.256p.jpg,Wired,Black,26000,Optical,Right,4.5
Logitech PRO X Superlight 2,99.99,https://cdna.pcpartpicker.com/static/forever/images/product/8bd4ec52b9e7e8664ea7573dccccc0c4.256p.jpg,"Wired, Wireless",Black,32000,Optical,Right,4.5
Logitech G700s,,Laser,Wireless,Black,8200,Laser,Right,4.5
Logitech G502 X Plus,99.99,https://cdna.pcpartpicker.com/static/forever/images/product/9cfeaf467cdc4fb77c735a6f491aba6b.256p.jpg,"Wired, Wireless",Black,25600,Optical,Right,4.5
Logitech G Pro X Superlight,120.96,https://cdna.pcpartpicker.com/static/forever/images/product/575c76df1ce4d5588c5749e289515e4c.256p.jpg,Wireless,Black,25400,Optical,Right,4.5
Razer Viper V4 Pro,,https://cdna.pcpartpicker.com/static/forever/images/product/140d5b4153f9e7de21b69ae697ecfdd5.256p.jpg,"Wired, Wireless",Black,50000,Optical,Right,0
Razer Viper V3 Pro,129,https://cdna.pcpartpicker.com/static/forever/images/product/25eb6d79d56298ee00645faac8d6aff1.256p.jpg,"Wired, Wireless",Black,35000,Optical,Right,4.5
Logitech G502 LIGHTSPEED,97.01,https://cdna.pcpartpicker.com/static/forever/images/product/688ab5cb5e71622cfe889c082d784cdb.256p.jpg,Wireless,Black,25600,Optical,Right,4.5
Asus ROG Harpe Ace Extreme,226.38,https://cdna.pcpartpicker.com/static/forever/images/product/e97b771577f100e48dec340162528ae3.256p.jpg,"Wired, Wireless, Bluetooth Wireless",Black,42000,Optical,Right,0
Razer DeathAdder Essential,16.99,https://cdna.pcpartpicker.com/static/forever/images/product/d6fd43322f07dedde7c5c3d9e53706d1.256p.jpg,Wired,Black / Green,6400,Optical,Right,4.5
Razer Viper V3 HyperSpeed,63.44,Optical,Wireless,Black,30000,Optical,Right,5
Razer Basilisk V3 Pro,107.26,https://cdna.pcpartpicker.com/static/forever/images/product/b5ae883a17a1d332780a63f64f8df4b0.256p.jpg,"Wired, Wireless, Bluetooth Wireless",Black,30000,Optical,Right,4
Lenovo GX30M39704 300,13.91,https://cdna.pcpartpicker.com/static/forever/images/product/9f6b69ae376d3d89ec24b134f9a08a9b.256p.jpg,Wired,Black / Orange,Both,Laser,Both,1
Redragon COBRA M711,24.44,https://cdna.pcpartpicker.com/static/forever/images/product/ed20fdc4053c1979e2f89767aafda5d1.256p.jpg,Wired,Black / Multicolor,10000,Optical,Right,4.5
Logitech TrackMan,399.95,Trackball,Wireless,Black / Silver,Right,Trackball,Right,4
Logitech G203 Lightsync,23.59,https://cdna.pcpartpicker.com/static/forever/images/product/b8e80e45051e0b167cbda318107448f9.256p.jpg,Wired,Black,8000,Optical,Right,4.5
Razer Basilisk V3 Pro 35K,146.56,https://cdna.pcpartpicker.com/static/forever/images/product/3edd4b262d72b21afa356dba0286386d.256p.jpg,"Wired, Wireless, Bluetooth Wireless",White,35000,Optical,Right,0
Logitech B100,14.34,Optical,Wired,Black,800,Optical,,4
Razer DeathAdder V4 Pro,,https://cdna.pcpartpicker.com/static/forever/images/product/88e9e7d1c7dd5c517fd31999b5abc5f2.256p.jpg,"Wired, Wireless",Black,45000,Optical,Right,0
Razer DeathAdder V3,48.9,https://cdna.pcpartpicker.com/static/forever/images/product/527a2ec03a543912ea15c59764aeb279.256p.jpg,Wired,Black,30000,Optical,Right,5
Razer Naga V2 Pro,179,Optical,Wired, Wireless, Bluetooth Wireless,Black,30000,Optical,Right,5
Logitech G Pro,89.99,https://cdna.pcpartpicker.com/static/forever/images/product/800bb5629053de7c02501a11b4e0f87d.256p.jpg,Wired, Wireless,Black,25600,Optical,Both,4.5
Corsair SABRE v2 PRO,64,https://cdna.pcpartpicker.com/static/forever/images/product/4dd650bb6dceb28d78278a7fe1e4d8a7.256p.jpg,"Wired, Wireless",Black,33000,Optical,Right,0
Logitech MX Master 4,127.86,https://cdna.pcpartpicker.com/static/forever/images/product/3891dfbeec8fca9ad45e28f8705f8a41.256p.jpg,"Wireless, Bluetooth Wireless",Gunmetal,8000,Optical,Right,0
Razer Basilisk V3 X Hyperspeed,43.49,https://cdna.pcpartpicker.com/static/forever/images/product/1bb09ad5b3b239b0aeebb8aa47a91339.256p.jpg,Wired, Wireless, Bluetooth Wireless,Black,18000,Optical,Right,4
Glorious MODEL O,27.54,https://cdna.pcpartpicker.com/static/forever/images/product/ab7f3f6e7b4d49a7dbaec72d7ec00b2b.256p.jpg,Wired,Black,12000,Optical,Right,4.5
Logitech PRO X SUPERLIGHT 2 DEX,116.38,https://cdna.pcpartpicker.com/static/forever/images/product/ef157c63ae31a89ae83c743c4bc77394.256p.jpg,"Wired, Wireless",Black,44000,Optical,Right,5
