name,price,image,dvd,cd,dvd_write,cd_write,bd_write,bd,rating
Lite-On iHAS124-14,54.71,https://cdna.pcpartpicker.com/static/forever/images/product/1c0c6739ed6544996749709d5555442a.med.256p.jpg,16,48,24/8/8/24/6/8/5,48/24,48/24,,4
LG WH14NS40,99.99,https://cdna.pcpartpicker.com/static/forever/images/product/f01ff4c3a2b299c6c8ee623bab52413b.256p.jpg,16,48,16/8/8/16/6/8/5,48/24,14/12/2/2,12,4.5
LG GH24NSD5,29.5,https://cdna.pcpartpicker.com/static/forever/images/product/ee4cd07587af9f2e4deb310a780677ea.256p.jpg,16,48,24/8/12/8/6/12/12,48/24,48/24,,4
Asus BW-16D1HT,128.99,https://cdna.pcpartpicker.com/static/forever/images/product/84369136093ebb9b87331107edd2b211.256p.jpg,16,48,16/8/8/16/6/8/5,48/24,16/12/2/2,12,4
Plextor PX-891SAF,104.48,,16,48,24/8/12/24/6/12/12,48/32,48/32,,0
Asus DRW-24B1ST/BLK/B/AS,141.74,https://cdna.pcpartpicker.com/static/forever/images/product/6f533c54d93b7bd4228c572edab0748c.256p.jpg,16,48,24/8/12/24/6/12/12,48/32,48/32,,4.5
Silverstone TOB04,163.24,https://cdna.pcpartpicker.com/static/forever/images/product/3b145455724206a79efa94f828d8c77f.256p.jpg,8,24,8/8/8/8/8/8/8,24/24,6/6/6/4,6,0
Asus BW-14D1XT,357.91,12,16,48,16/8/8/16/6/8/5,48/24,14/12/2/2,12,4
LG WH16NS40,123,12,16,48,16/8/8/16/6/8/5,48/24,16/12/2/2,12,4
HP QS208AA,66,https://cdna.pcpartpicker.com/static/forever/images/product/cd7785e58f68a8fe82aba50968bb9859.256p.jpg,16,48,16/8/8/-/6/8/-,48/32,48/32,,4
Pioneer BDR-212DBK,149.94,https://cdna.pcpartpicker.com/static/forever/images/product/7b613943a786696c861cbddfb6417b50.256p.jpg,,,16/8/8/16/6/8/5,40/24,16/14/2/2,,3
