name,price,image,mode,maximum_supported_memory,rating
Microsoft Windows 11 Home OEM - DVD 64-bit,107.99,https://cdna.pcpartpicker.com/static/forever/images/product/ab7d4d98513e78fab6b0ca42894bda65.256p.jpg,64-bit,128 GB,4
Microsoft Windows 11 Pro OEM - DVD 64-bit,133,https://cdna.pcpartpicker.com/static/forever/images/product/b06dd204711f15e712f892efcb1dd3df.256p.jpg,64-bit,2048 GB,3.5
Microsoft Windows 11 Home Retail - USB 64-bit,118.47,https://cdna.pcpartpicker.com/static/forever/images/product/ed2349ecd618439a2aa96364e9445138.256p.jpg,64-bit,128 GB,3.5
Microsoft Windows 11 Pro Retail - Download 64-bit,184.84,https://cdna.pcpartpicker.com/static/forever/images/product/5975493ee399fce8bc8df92e7acfbbe2.256p.jpg,64-bit,2048 GB,3.5
Microsoft Windows 11 Home Retail - Download 64-bit,108.22,https://cdna.pcpartpicker.com/static/forever/images/product/32b6fc00152158658990b62c8ab1e0d8.256p.jpg,64-bit,128 GB,3.5
Microsoft Windows 11 Pro Retail - USB 64-bit,159,https://cdna.pcpartpicker.com/static/forever/images/product/78f43eb1b5266ea1ad87edc95cb23ba1.256p.jpg,64-bit,2048 GB,4
Microsoft Windows 10 Pro OEM - DVD 64-bit,149.99,https://cdna.pcpartpicker.com/static/forever/images/product/e2020af0d40a275d81e0eec3386efa7e.256p.jpg,64-bit,2048 GB,4
Microsoft Windows 10 Home OEM - DVD 64-bit,,https://cdna.pcpartpicker.com/static/forever/images/product/f5e3c78aadf16d536c31b0fa088c8306.256p.jpg,64-bit,128 GB,4
Microsoft Windows 10 Home Retail - Download 32/64-bit,,https://cdna.pcpartpicker.com/static/forever/images/product/4d7dbe8a84feb68bfcc7c867b56f9bf6.256p.jpg,32/64-bit,128 GB,4
Microsoft Windows 10 Pro Retail - USB 32/64-bit,,https://cdna.pcpartpicker.com/static/forever/images/product/ec4467a1717895ddeee70be93f95e058.256p.jpg,32/64-bit,2048 GB,3.5
Microsoft Windows 10 Pro Retail - Download 32/64-bit,,https://cdna.pcpartpicker.com/static/forever/images/product/b3f9d836d33c6a83e4f4e89405eb8b12.256p.jpg,32/64-bit,2048 GB,4
Microsoft Windows 10 Home Retail - USB 32/64-bit,229.99,https://cdna.pcpartpicker.com/static/forever/images/product/bd996c469da3cf1008cd9efc48a1f660.256p.jpg,32/64-bit,128 GB,4
Microsoft Windows 10 Pro French CDN - Retail - DVD 64-bit,,https://cdna.pcpartpicker.com/static/forever/images/product/eada175679f407c6c400d6206d19b9e4.256p.jpg,64-bit,2048 GB,4.5
Microsoft Windows 7 Home Premium Full 32/64-bit,235.98,32,64,32/64-bit,16 GB,4.5
Microsoft Windows 8 Pro OEM 32-bit,39.9,32,32-bit,4 GB,3
Microsoft Windows 10 Home French - USB 32/64-bit,,32,64,32/64-bit,128 GB,5
Microsoft Windows 10 Home French OEM - DVD 64-bit,,64,64-bit,128 GB,4.5
Microsoft Windows 10 Home OEM - DVD 32-bit,143.46,https://cdna.pcpartpicker.com/static/forever/images/product/f5e3c78aadf16d536c31b0fa088c8306.256p.jpg,32-bit,4 GB,2
Microsoft Windows 10 Pro OEM - DVD 32-bit,,https://cdna.pcpartpicker.com/static/forever/images/product/e2020af0d40a275d81e0eec3386efa7e.256p.jpg,32-bit,4 GB,0
Microsoft Windows 7 Ultimate 64-bit,,64,64-bit,192 GB,4.5
Microsoft Windows 7 Professional Full 32/64-bit,254.16,32,64,32/64-bit,192 GB,5
Microsoft Windows 7 Home Premium SP1 32-bit,,32,32-bit,4 GB,5
Microsoft Windows 7 Professional SP1 OEM 64-bit,,https://cdna.pcpartpicker.com/static/forever/images/product/f220049124bc9df50bd397b9384ec20c.256p.jpg,64-bit,192 GB,4.5
Microsoft Windows 7 Ultimate SP1 3-Pack 32-bit,,https://cdna.pcpartpicker.com/static/forever/images/product/3003cd5f32d4f568007e5307d0e9c736.med.256p.jpg,32-bit,4 GB,0
Microsoft Windows 7 Home Premium SP1 OEM 64-bit,,64,64-bit,16 GB,4.5
Microsoft Windows 7 Ultimate SP1 OEM 64-bit,,64,64-bit,192 GB,4.5
