name,price,image,type,wattage,efficiency,modular,color,rating
MSI MAG A750GL PCIE5,79.98,https://cdna.pcpartpicker.com/static/forever/images/product/d8f4d13ba49891eb3929bdddc3d87b4b.256p.jpg,ATX,750 W,80+ Gold,Full,Black,4.5
MSI MAG A850GL PCIE5,88,https://cdna.pcpartpicker.com/static/forever/images/product/79be60ce3783b8918a1c0940d3e4ff19.256p.jpg,ATX,850 W,80+ Gold,Full,Black,4.5
MSI MAG A650BN,36.95,https://cdna.pcpartpicker.com/static/forever/images/product/3148f884b77b2d7abee3a3e0ad72cf73.256p.jpg,ATX,650 W,80+ Bronze,No,Black,4.5
Corsair SF1000 (2024),160,https://cdna.pcpartpicker.com/static/forever/images/product/0dd4e1eecc238b78a3b4abfa14af9d50.256p.jpg,SFX,1000 W,80+ Platinum,Full,Black,4.5
Corsair RM850e (2025),89.99,https://cdna.pcpartpicker.com/static/forever/images/product/3fa3c80c1defc487364f6bdaf2670b1e.256p.jpg,ATX,850 W,Full,Full,Black,4.5
Montech CENTURY II,99.98,https://cdna.pcpartpicker.com/static/forever/images/product/c04beca6c6820e5b4fe612ab1850b8cd.256p.jpg,ATX,1050 W,80+ Gold,Full,Black,4.5
Corsair RM750e (2025),89.9,https://cdna.pcpartpicker.com/static/forever/images/product/8307e191cd38a81dc5dcf709432e21e0.256p.jpg,ATX,750 W,Full,Full,Black,4.5
MSI MAG A650GL,69.99,https://cdna.pcpartpicker.com/static/forever/images/product/9fd701005a49816e85072d6ed79c2951.256p.jpg,ATX,650 W,80+ Gold,Full,Black,4.5
Corsair RM1000x (2024),129.9,https://cdna.pcpartpicker.com/static/forever/images/product/8bc2cb01b2a5875aa983b4cc5be68221.256p.jpg,ATX,1000 W,Full,Full,Black,4.5
MSI MAG A550BN,37.99,ATX,ATX,550 W,80+ Bronze,No,Black,4.5
Corsair SF750 (2024),113.99,https://cdna.pcpartpicker.com/static/forever/images/product/e297517330e5a91ec38e95b9377df1a0.256p.jpg,SFX,750 W,80+ Platinum,Full,Black,4.5
Asus ROG THOR 1600T Gaming,Out of stock£596.26Add,https://cdna.pcpartpicker.com/static/forever/images/product/b22fb9713e4ad5dd4245dbec30740766.256p.jpg,ATX,1600 W,80+ Titanium,Full,Silver / Black,4
Corsair SF850 (2024),144.99,https://cdna.pcpartpicker.com/static/forever/images/product/016556184725a9604ae50e789f12b12c.256p.jpg,SFX,850 W,80+ Platinum,Full,Black,4.5
Asus ROG STRIX 1200P Gaming,179.94,https://cdna.pcpartpicker.com/static/forever/images/product/3fb2d887e5a452db696692c8205dd369.256p.jpg,ATX,1200 W,80+ Platinum,Full,Black / Silver,4.5
Corsair RM850x (2024),106.5,https://cdna.pcpartpicker.com/static/forever/images/product/1e3308cded9a7c92a8dba6b2be976bcc.256p.jpg,ATX,850 W,Full,Full,Black,4.5
be quiet! Pure Power 13 M,149.99,https://cdna.pcpartpicker.com/static/forever/images/product/de4fe25ca903d393df5e80d25f6c4d9f.256p.jpg,ATX,1200 W,80+ Gold,Full,Black,0
Thermaltake Smart,89.84,https://cdna.pcpartpicker.com/static/forever/images/product/4bd3b198fbff9c55cc45e640e9ce8ed0.256p.jpg,ATX,700 W,80+,No,,3.5
Super Flower Leadex Titanium,Add,https://cdna.pcpartpicker.com/static/forever/images/product/eb8ffbb1853ff66c267e3fd4047cb34f.256p.jpg,ATX,1600 W,80+ Titanium,Full,Black,5
Corsair CX750M (2021),£101.97Add,https://cdna.pcpartpicker.com/static/forever/images/product/e3f5e5e966e562c1ec685b17ed83bccb.256p.jpg,ATX,750 W,80+ Bronze,Semi,Black,4.5
Lian Li EDGE GOLD,157.07,https://cdna.pcpartpicker.com/static/forever/images/product/6cd392c0ddcb76b70bdf0b6ed14e34ca.256p.jpg,ATX,1000 W,80+ Gold,Full,White,4.5
Corsair RM1000e (2025),120.9,https://cdna.pcpartpicker.com/static/forever/images/product/e1a0bb0ca24bc0c2d95fea57a8c2019d.256p.jpg,ATX,1000 W,Full,Full,Black,4
ASRock Challenger CL-750G,Add,https://cdna.pcpartpicker.com/static/forever/images/product/c3f4e6f17f3c57992c4cfc1813e07d0e.256p.jpg,ATX,750 W,80+ Gold,No,Black,5
Corsair RM650e (2025),70.98,ATX,ATX,650 W,Full,Full,Black,5
Cooler Master V850 SFX GOLD,Out of stock£139.99Add,https://cdna.pcpartpicker.com/static/forever/images/product/bd2577c6ecabce9f78526a09410351e0.256p.jpg,SFX,850 W,80+ Gold,Full,Black,4.5
MSI MAG A1000GL PCIE5,151.19,https://cdna.pcpartpicker.com/static/forever/images/product/d341970c610a68f6188dd0c370743769.256p.jpg,ATX,1000 W,80+ Gold,Full,Black,4.5
ASRock PRO-650G,Add,https://cdna.pcpartpicker.com/static/forever/images/product/d7333adad35614791a16a3fbb8876bac.256p.jpg,ATX,650 W,80+ Gold,No,Black,4
