name,price,image,channels,digital_audio,interface,chipset,snr,sample_rate,rating
Creative Labs Sound Blaster AE-9,,https://cdna.pcpartpicker.com/static/forever/images/product/3f127cbdd92c06b33328f8b1e9ae2740.256p.jpg,5.1,32-bit,PCIe x1,Sound Core3D,129 dB,384 kHz,4
Creative Labs Sound BlasterX AE-5 Plus,122.4,https://cdna.pcpartpicker.com/static/forever/images/product/6b7658e696cb51349bcc73ea46059669.256p.jpg,5.1,32-bit,PCIe x1,Sound Core3D,122 dB,384 kHz,4.5
Creative Labs Sound Blaster AE-7,,https://cdna.pcpartpicker.com/static/forever/images/product/3bc971273a6158eaffb924e541e55f91.256p.jpg,5.1,32-bit,PCIe x1,Sound Core3D,127 dB,384 kHz,4.5
Asus STRIX SOAR,69.94,https://cdna.pcpartpicker.com/static/forever/images/product/f60cfa38268cb87ff4a377931f682c77.256p.jpg,7.1,24-bit,PCIe x1,,116 dB,192 kHz,4
Creative Labs Sound Blaster Audigy Fx V2,,https://cdna.pcpartpicker.com/static/forever/images/product/3a67bc25f6a1a9c0a102ab27b8d0eec2.256p.jpg,5.1,24-bit,PCIe x1,,120 dB,192 kHz,5
Asus Xonar SE,,https://cdna.pcpartpicker.com/static/forever/images/product/44d27c13de46b5eb697cfd598740f3a2.256p.jpg,5.1,24-bit,PCIe x1,,120 dB,192 kHz,5
Creative Labs Sound Blaster Z SE,79.99,https://cdna.pcpartpicker.com/static/forever/images/product/671e129ab2b2a84930e765dcf6d60fe7.256p.jpg,5.1,24-bit,PCIe x1,Sound Core3D,116 dB,192 kHz,4.5
Asus Xonar Essence STX,,,7.1,24-bit,PCIe x1,ASUS AV100,124 dB,192 kHz,4.5
Creative Labs ZXR,802.11,,5.1,24-bit,PCIe x1,,124 dB,192 kHz,4.5
Creative Labs Sound BlasterX AE-5 Plus Pure,,,5.1,32-bit,PCIe x1,Sound Core3D,122 dB,384 kHz,0
Asus Essence STX II 7.1,,,7.1,24-bit,PCIe x1,ASUS AV100,124 dB,192 kHz,0
Asus Xonar AE,,https://cdna.pcpartpicker.com/static/forever/images/product/974fe1baf579715ee071900b1c3864ff.256p.jpg,7.1,24-bit,PCIe x1,,110 dB,192 kHz,0
Creative Labs Sound Blaster X-Fi Titanium HD,,,7.1,24-bit,PCIe x1,X-Fi,122 dB,96 kHz,4.5
Creative Labs Sound Blaster Audigy Rx,,https://cdna.pcpartpicker.com/static/forever/images/product/2ac66de878c9627fb10cc0c67a680b57.256p.jpg,7.1,24-bit,PCIe x1,Creative E-MU,106 dB,192 kHz,4.5
Creative Labs Sound Blaster Z w/Shield,,,5.1,24-bit,PCIe x1,Sound Core3D,116 dB,192 kHz,4
Creative Labs Sound Blaster Zx,,,5.1,24-bit,PCIe x1,,116 dB,192 kHz,4.5
EVGA NU AUDIO PRO,,https://cdna.pcpartpicker.com/static/forever/images/product/e391f1d7e06e84b33a82e559c144e1f5.256p.jpg,2.0,32-bit,PCIe x1,,123 dB,384 kHz,5
Asus STRIX RAID PRO,,,7.1,24-bit,PCIe x1,,116 dB,192 kHz,0
Asus STRIX RAID DLX,,https://cdna.pcpartpicker.com/static/forever/images/product/771b65ae71626caf3c50d6e0698cfc30.256p.jpg,7.1,24-bit,PCIe x1,,124 dB,192 kHz,0
Creative Labs Sound BlasterX AE-5,,,5.1,32-bit,PCIe x1,Sound Core3D,122 dB,384 kHz,0
