name,price,image,configuration,total_wattage,frequency_response,color,rating
Creative Labs Pebble 2.0,21.99,https://cdna.pcpartpicker.com/static/forever/images/product/53654596dd1e528db8fb38931ab8a5bc.256p.jpg,2.0,4.4 W,100 Hz - 17 kHz,Black,4.5
ELAC DCB61,,,1.0,320 W,48 Hz - 22 kHz,Black,0
Razer Leviathan V2 X,84.98,https://cdna.pcpartpicker.com/static/forever/images/product/340d4285b47c9ae44dce4a90a9f079d7.256p.jpg,2.0,65 W,85 Hz - 20 kHz,Black,4.5
Kanto TUK,749,,2.0,260 W,50 Hz - 20 kHz,White / Black,0
Logitech Z906,,,5.1,500 W,35 Hz - 20 kHz,,4.5
Edifier MR4,89.99,https://cdna.pcpartpicker.com/static/forever/images/product/ea21a9b6cd58a889002797910fc2441e.256p.jpg,2.0,42 W,60 Hz - 20 kHz,White,5
Edifier S3000MKII,,https://cdna.pcpartpicker.com/static/forever/images/product/e6de931d0f2296b13a44df5b1efdcaa9.256p.jpg,2.0,256 W,38 Hz - 20 kHz,Brown / Black,0
Logitech S150,,https://cdna.pcpartpicker.com/static/forever/images/product/cc13de09d072bed3efcf450a1d98e046.256p.jpg,2.0,2.4 W,90 Hz - 20 kHz,Black,4
SteelSeries Arena 9 US,,https://cdna.pcpartpicker.com/static/forever/images/product/f623ec1b82ade437b39d86ba82dd7e8d.256p.jpg,5.1,,35 Hz - 20 kHz,Black,0
Logitech Z207 (Black),,https://cdna.pcpartpicker.com/static/forever/images/product/ec84c190e5f11ca8e9b78bd6dfb781fd.256p.jpg,2.0,0.01 W,,Black,4.5
Klipsch R-51PM,,,2.0,120 W,68 Hz - 21 kHz,Black,5
Logitech G560,,https://cdna.pcpartpicker.com/static/forever/images/product/ad2ea31f9621f1aa5f4693fa012bc4de.256p.jpg,2.1,120 W,40 Hz - 18 kHz,Black,4.5
Logitech Z623,149.99,https://cdna.pcpartpicker.com/static/forever/images/product/1a81d1d8e7b218880798be08c84c5a3e.256p.jpg,2.1,200 W,35 Hz - 20 kHz,,4.5
Creative Labs Pebble Plus,34.99,,2.1,8 W,50 Hz - 20 kHz,Black,4.5
Creative Labs Pebble V3,,https://cdna.pcpartpicker.com/static/forever/images/product/2632f14a05f4fc771452849333b86af0.256p.jpg,2.0,8 W,100 Hz - 17 kHz,Black / Copper,4.5
Sony HT-S100F Soundbar,,https://cdna.pcpartpicker.com/static/forever/images/product/5ef14aaf9a260dcbf607eb5e0fb5b9e2.256p.jpg,2.0,44 W,20 Hz - 20 kHz,Black,5
Logitech Z313,,https://cdna.pcpartpicker.com/static/forever/images/product/17b4ef2d9b7828e91782fcf93bdc7cce.256p.jpg,2.1,25 W,48 Hz - 20 kHz,,4
Creative Labs Pebble Pro,59.99,,2.0,30 W,80 Hz - 20 kHz,Black / Copper,4.5
Creative Labs Pebble V2,26.97,https://cdna.pcpartpicker.com/static/forever/images/product/35b161e009a58f1b9b4c4a50ab9dcda0.256p.jpg,2.0,8 W,100 Hz - 17 kHz,Black / Copper,4.5
Creative Labs Sound Blaster GS3,44.98,https://cdna.pcpartpicker.com/static/forever/images/product/df7b80628934ad78a59e51e274a1510f.256p.jpg,2.0,24 W,65 Hz - 20 kHz,Black,5
Razer Leviathan V2 Pro,,https://cdna.pcpartpicker.com/static/forever/images/product/6262bc1dd543981e5cf9a470e374209b.256p.jpg,5.1,,40 Hz - 20 kHz,Black,0
Klipsch ProMedia 2.1,,,2.1,120 W,31 Hz - 20 kHz,,4.5
AmazonBasics U213,,,2.0,2.2 W,103 Hz - 20 kHz,Black,2.5
Logitech Z407,,https://cdna.pcpartpicker.com/static/forever/images/product/bdcf15f115b1f3e12e896a3efcb143f3.256p.jpg,2.1,40 W,40 Hz - 20 kHz,Black,4
Logitech Z150,,https://cdna.pcpartpicker.com/static/forever/images/product/df3930d28f5352d74bf85844dd6bcfe9.256p.jpg,2.0,,,,4
Kanto REN,,https://cdna.pcpartpicker.com/static/forever/images/product/5189eb920f452e8bc8ff8f2eb6acb765.256p.jpg,2.0,200 W,50 Hz - 22 kHz,Black,0
Razer Leviathan V2,,https://cdna.pcpartpicker.com/static/forever/images/product/a404c6eeceb711738df49595a0ac7d4c.256p.jpg,2.1,65 W,45 Hz - 20 kHz,Black,4
Redragon GS814,,https://cdna.pcpartpicker.com/static/forever/images/product/5a462a44c1ef7f5f9383588d8c293293.256p.jpg,2.0,20 W,20 Hz - 20 kHz,Black,0
Trust GXT 606 JAVV,24.47,https://cdna.pcpartpicker.com/static/forever/images/product/8dff6e7a89953fd9854d99ab273780a0.256p.jpg,2.0,6 W,160 Hz - 20 kHz,Black,5
Creative Labs Sound Blaster GS5 RGB Soundbar,70.47,,2.0,60 W,65 Hz - 20 kHz,Black,0
