name,price,image,capacity,interface,type,form_factor,cache,price_gb,rating
Kingston NV3,128.94,https://cdna.pcpartpicker.com/static/forever/images/product/0a0b12a29d901a2fef4cd49748f3cc54.256p.jpg,1 TB,M.2 PCIe 4.0 X4,SSD,M.2-2280,,£0.129,4.5
Samsung 990 Pro,326.99,https://cdna.pcpartpicker.com/static/forever/images/product/55fb148a837f9e33dfdb095188af8a74.256p.jpg,2 TB,M.2 PCIe 4.0 X4,SSD,M.2-2280,2048 MB,£0.163,4.5
Silicon Power UD90,122.97,https://cdna.pcpartpicker.com/static/forever/images/product/b897eb9b6b500cbebe80985cb7c8ba7e.256p.jpg,1 TB,M.2 PCIe 4.0 X4,SSD,M.2-2280,,£0.123,4.5
Crucial P310,154.94,https://cdna.pcpartpicker.com/static/forever/images/product/df4e2992d37f23922fb5d8d9ce743981.256p.jpg,1 TB,M.2 PCIe 4.0 X4,SSD,M.2-2280,,£0.155,4.5
Western Digital WD_Black SN850X,303,https://cdna.pcpartpicker.com/static/forever/images/product/8e6dbae8a0f3c6572216c8758ce5a0b5.256p.jpg,2 TB,M.2 PCIe 4.0 X4,SSD,M.2-2280,2048 MB,£0.151,4.5
Samsung 9100 PRO,1553.94,https://cdna.pcpartpicker.com/static/forever/images/product/fc8889b70fba1d57031e100cf6562622.256p.jpg,8 TB,M.2 PCIe 5.0 X4,SSD,M.2-2280,8192 MB,£0.194,5
Patriot P300,73.98,https://cdna.pcpartpicker.com/static/forever/images/product/bbe3d900dc2abf2a0828e4860619a58e.256p.jpg,512 GB,M.2 PCIe 3.0 X4,SSD,M.2-2280,,£0.144,4.5
Silicon Power P34A60,304.32,https://cdna.pcpartpicker.com/static/forever/images/product/0502d0e9177bf57189386f69ba859b0e.256p.jpg,2 TB,M.2 PCIe 3.0 X4,SSD,M.2-2280,,£0.152,5
Samsung 980,194.99,https://cdna.pcpartpicker.com/static/forever/images/product/ca0b46376f072d2483c385bad50c6310.256p.jpg,500 GB,M.2 PCIe 3.0 X4,SSD,M.2-2280,,£0.390,4.5
Western Digital WD_BLACK SN7100,259.96,https://cdna.pcpartpicker.com/static/forever/images/product/6f0fd73f94e49659eace8db76370bc34.256p.jpg,2 TB,M.2 PCIe 4.0 X4,SSD,M.2-2280,,£0.130,4.5
Samsung 970 Evo Plus,179.99,https://cdna.pcpartpicker.com/static/forever/images/product/326881d073c1b667bd348893696c690e.256p.jpg,1 TB,M.2 PCIe 3.0 X4,SSD,M.2-2280,1024 MB,£0.180,4.5
Samsung 990 EVO Plus,249.99,https://cdna.pcpartpicker.com/static/forever/images/product/e04f7c7b9bb44e66f4518b2d99d5798d.256p.jpg,2 TB,M.2 PCIe 5.0 X2,SSD,M.2-2280,,£0.125,4.5
