name,price,image,amount,rating
ARCTIC MX-6,8.99,https://cdna.pcpartpicker.com/static/forever/images/product/3d165b90f17f4124d08ce51bde755da4.256p.jpg,4 g,4.5
Thermal Grizzly Kryonaut,6.95,https://cdna.pcpartpicker.com/static/forever/images/product/e6d57f462cf826fea2ece98cc59b334e.256p.jpg,1 g,4.5
Thermal Grizzly Kryonaut Extreme,14.99,https://cdna.pcpartpicker.com/static/forever/images/product/7531e7bdc184bb0d6ecc992b453419cc.256p.jpg,2 g,4.5
ARCTIC MX-7,5.99,https://cdna.pcpartpicker.com/static/forever/images/product/756d48e0ad964e9a35e19c07758d1b06.256p.jpg,8 g,5
ARCTIC MX-4 (2019),4.99,https://cdna.pcpartpicker.com/static/forever/images/product/4e73c6b1d3705d74d0e07371664984ce.256p.jpg,4 g,4.5
Arctic Silver 5 High-Density Polysynthetic Silver,12.95,https://cdna.pcpartpicker.com/static/forever/images/product/0717918950a454120e59f23fee37077b.256p.jpg,3.5 g,4.5
Noctua NT-H2,11.95,https://cdna.pcpartpicker.com/static/forever/images/product/a365e986bc44fb0d6da4c21f861d6656.256p.jpg,3.5 g,4.5
Corsair TM30,4.99,https://cdna.pcpartpicker.com/static/forever/images/product/14a3a5b1e8a59df6eea1e78e186c460b.256p.jpg,3 g,4.5
Thermal Grizzly Duronaut,8.99,https://cdna.pcpartpicker.com/static/forever/images/product/ed45f7cb870c9dd8de74f7c9398a68e6.256p.jpg,2 g,4.5
ARCTIC MX-7 with MX Cleaner,11.81,,4 g,5
Thermal Grizzly Polartherm X-8,1.99,2,2 g,0
Noctua NT-H1,13.43,https://cdna.pcpartpicker.com/static/forever/images/product/043742a8a65ba42c83b9a3ba5a3c2d47.256p.jpg,3.5 g,4.5
Thermal Grizzly Duronaut Pro,29.99,https://cdna.pcpartpicker.com/static/forever/images/product/d7fd96ded1782c1fb333b62ff5ec1699.256p.jpg,6 g,0
Noctua NT-H2 3.5g AM5 Edition,16.6,https://cdna.pcpartpicker.com/static/forever/images/product/153c306184e7f1c3c6d35cd8a6acfa0a.256p.jpg,3.5 g,0
Corsair XTM70,14.99,https://cdna.pcpartpicker.com/static/forever/images/product/a44b079d6e5b02f134f8e61dd10882f6.256p.jpg,3 g,4.5
Thermal Grizzly Conductonaut Extreme,12.95,https://cdna.pcpartpicker.com/static/forever/images/product/f14de6b7e7956b8ee95301511af4786f.256p.jpg,1 g,5
Arctic Silver Ceramique 2 Tri-Linear,3.85,https://cdna.pcpartpicker.com/static/forever/images/product/54e4a7ef9d18d958e4c00ab368e1c6b5.256p.jpg,2.7 g,4.5
ARCTIC MX-4,8.14,https://cdna.pcpartpicker.com/static/forever/images/product/2998c52bf44e08b31ce96124cf4ff0b3.256p.jpg,4 g,4.5
ARCTIC MX-4 w/ Spatula,5.95,https://cdna.pcpartpicker.com/static/forever/images/product/d756c1b1cae3360570e2a611485e51b2.256p.jpg,4 g,5
Thermal Hero ULTRA with paste gun,88.99,50,50 g,0
Corsair XTM50,24.99,https://cdna.pcpartpicker.com/static/forever/images/product/b9f4d59a1ef7680c36fa309dd509d23d.256p.jpg,5 g,4.5
Asus ROG RG-07 KIT,35.34,https://cdna.pcpartpicker.com/static/forever/images/product/70bd3cf9f5bd22965d9511f13aeedc38.256p.jpg,3 g,0
Thermal Grizzly Polartherm X-10,2.5,2,2 g,0
Thermal Hero QUANTUM,107.99,50,50 g,0
Prolimatech PK-3 Nano Aluminum High-Grade,3.49,https://cdna.pcpartpicker.com/static/forever/images/product/5c7f2d3299a63d51cbbbc39465c83f3d.256p.jpg,1.5 g,5
Asus ROG RG-07,26.25,3,3 g,5
Thermal Hero METALLIQ,46.31,1,5 g,0
Thermal Grizzly Aeronaut,9.95,https://cdna.pcpartpicker.com/static/forever/images/product/c2677dd5177f559b8be347f2ca37181b.256p.jpg,3.9 g,4.5
Thermal Grizzly Conductonaut,15.46,https://cdna.pcpartpicker.com/static/forever/images/product/cebb7f029dc60b7c888ae5a3ee5f87ac.256p.jpg,1 g,4.5
KINGPINcooling KPx,8.98,1,1 g,5
Prolimatech PK-Zero,135.24,https://cdna.pcpartpicker.com/static/forever/images/product/84779660db3a09225f66c3067b0e62e5.256p.jpg,600 g,0
Thermal Grizzly Hydronaut,7.99,https://cdna.pcpartpicker.com/static/forever/images/product/b2dd57132536560659b45258959fbbd9.256p.jpg,3.9 g,4.5
Thermalright TF9,4.88,1.5,1.5 g,0
Gelid Solutions GC-Extreme,21.49,3.5,10 g,4.5
Thermalright TF7,4.38,2,2 g,4
ID-COOLING Frost X45,,4,4 g,5
ARCTIC MX-5,,4,4 g,5
be quiet! DC2,10.96,https://cdna.pcpartpicker.com/static/forever/images/product/b95eacfc6fc1edbd0ba7426c57646a0d.256p.jpg,3 g,0
StarTech Metal Oxide,9.4,https://cdna.pcpartpicker.com/static/forever/images/product/7592fd947177a18d364a459a5c2460b1.256p.jpg,1.5 g,4
Thermal Hero ULTRA,75.98,50,10 g,0
Cooler Master CryoFuze,9.16,https://cdna.pcpartpicker.com/static/forever/images/product/a4137e68d3f55caa54903e170d4a2f96.256p.jpg,2 g,4
be quiet! C2 Pro,26.15,https://cdna.pcpartpicker.com/static/forever/images/product/2318df69d6c692db6543b34b8e73cb05.256p.jpg,1 g,0
Thermaltake CL-O004-GROSGM-A,23.48,https://cdna.pcpartpicker.com/static/forever/images/product/b752cc19070815ec9475e9ab9528ba94.256p.jpg,4 g,4.5
Thermalright TFX,18.98,https://cdna.pcpartpicker.com/static/forever/images/product/5e419f1f097a6a43988da13e65090eea.256p.jpg,2 g,5
Cooler Master HTK-002,10.35,https://cdna.pcpartpicker.com/static/forever/images/product/2d4478615e2ccdda0a2ee242f07f05b1.256p.jpg,0.01 g,4.5
Innovation Cooling Diamond 7 Carat,,1.5,1.5 g,4.5
Thermaltake CL-O002-GROSGM-A,12.99,40,40 g,5
