name,price,image,capacity_(w),capacity_(va),rating
CyberPower CP1500PFCLCD,,https://cdna.pcpartpicker.com/static/forever/images/product/078953894c00f76b8090ff4ca3179bab.256p.jpg,1000 W,1500 VA,4.5
APC SURT20KRMXLT,,https://cdna.pcpartpicker.com/static/forever/images/product/6bea31cad2001dc918713df512e8a9cb.256p.jpg,16000 W,20000 VA,0
APC Back-UPS 1500,438.59,https://cdna.pcpartpicker.com/static/forever/images/product/33a78d53b1611aabb73b3048fb3dc5c4.256p.jpg,900 W,1500 VA,4
APC SRT10KRMXLI,8374.92,https://cdna.pcpartpicker.com/static/forever/images/product/3e1c60eaeecf8d9b333f2b5dfb7b952e.256p.jpg,10000 W,10000 VA,0
CyberPower CP1500AVRLCD,,,900 W,1500 VA,5
APC Back-UPS Pro 1500S,,https://cdna.pcpartpicker.com/static/forever/images/product/12bac3884cccb9f302b43d72d5f571b4.256p.jpg,900 W,1500 VA,5
APC Back-UPS Pro Gaming,406.29,https://cdna.pcpartpicker.com/static/forever/images/product/b18673826399471d67b458fa29e33db6.256p.jpg,1320 W,2200 VA,0
CyberPower PR3000LCDSL,,https://cdna.pcpartpicker.com/static/forever/images/product/7142d0bd28c42ee4839e594ebc6cd937.256p.jpg,2700 W,3000 VA,0
APC SRT10KXLT,,https://cdna.pcpartpicker.com/static/forever/images/product/c3b215c34cb999dcc7d7323e8152258a.256p.jpg,10000 W,10000 VA,0
CyberPower CP1000PFCLCD,,https://cdna.pcpartpicker.com/static/forever/images/product/e43140a56296f6d89ee1e522f941baef.256p.jpg,600 W,1000 VA,4.5
CyberPower PR2200LCDSL,,https://cdna.pcpartpicker.com/static/forever/images/product/eb7df207e834f46f0e0d25387617fb72.256p.jpg,1980 W,2070 VA,0
APC Back-UPS Pro 1500VA,,https://cdna.pcpartpicker.com/static/forever/images/product/4249ecd58d1bee96be1c7c2f46ad1120.256p.jpg,900 W,1500 VA,0
CyberPower PR1500LCD,,https://cdna.pcpartpicker.com/static/forever/images/product/69f9dec685bf760d08714f52d876c98b.256p.jpg,1500 W,1500 VA,4
CyberPower ST425,,https://cdna.pcpartpicker.com/static/forever/images/product/aeae11bde355b776ae9b00e1abc0098e.256p.jpg,260 W,425 VA,0
CyberPower EC850LCD,,https://cdna.pcpartpicker.com/static/forever/images/product/8923665312e7dee0382745985741d46b.256p.jpg,510 W,850 VA,3.5
CyberPower CP1500AVRLCD3,,https://cdna.pcpartpicker.com/static/forever/images/product/1880ffc797c61028860953ad0d409a65.256p.jpg,900 W,1500 VA,0
CyberPower GX150C2,,,1000 W,1500 VA,0
APC SRT10KXLI,7902.92,https://cdna.pcpartpicker.com/static/forever/images/product/33b950d5017e8445ba83c0cbb496cf60.256p.jpg,10000 W,10000 VA,0
CyberPower CP1600EPFCLCD,498.57,https://cdna.pcpartpicker.com/static/forever/images/product/e644925ca65e0490e7a3d20103bc3444.256p.jpg,1000 W,1600 VA,0
CyberPower PFC Sinewave CP1500PFCRM2U,,https://cdna.pcpartpicker.com/static/forever/images/product/053840798fac976018a8d7e8605cbf6e.256p.jpg,1000 W,1500 VA,0
CyberPower CP550SLG,,https://cdna.pcpartpicker.com/static/forever/images/product/ed29aa3b751380a0fdee7491fcaa4569.256p.jpg,330 W,550 VA,4
CyberPower OR2200LCDRTXL2U,,https://cdna.pcpartpicker.com/static/forever/images/product/3fe10ba0b5fa551995b4cca4b2f70acf.256p.jpg,1650 W,2190 VA,0
CyberPower UT850EG,99.93,,425 W,850 VA,0
APC Back-UPS Pro 1500VA for Gaming,,https://cdna.pcpartpicker.com/static/forever/images/product/774bcb534b6c72c2ed4780de5580a46f.256p.jpg,900 W,1500 VA,5
APC Back-UPS Pro 1000S,,https://cdna.pcpartpicker.com/static/forever/images/product/eaa382977827e97a858670df81386016.256p.jpg,600 W,1000 VA,5
CyberPower CP1200AVR,,https://cdna.pcpartpicker.com/static/forever/images/product/67f6b611934020f55ee182c2d6601c11.256p.jpg,720 W,1200 VA,5
APC SRT8KXLI,6611.99,https://cdna.pcpartpicker.com/static/forever/images/product/03bfe86f8f61cdbc0371b9da3f3fa52c.256p.jpg,8000 W,8000 VA,0
APC BE600M1,,https://cdna.pcpartpicker.com/static/forever/images/product/382cab7e6ab007688435b6841ea2a9c7.256p.jpg,330 W,600 VA,0
CyberPower AVRG750U,,https://cdna.pcpartpicker.com/static/forever/images/product/4a86b31e4035444b746ccdd968195bc0.256p.jpg,450 W,750 VA,4.5
PowerWalker Basic VI 2200 STL UK,143.94,,1320 W,2200 VA,0
CyberPower CP1350PFCLCD,,https://cdna.pcpartpicker.com/static/forever/images/product/3113c0dbdcb2e2397383f1ad59845b6e.256p.jpg,810 W,1350 VA,4.5
APC Back-UPS Pro 700VA,184.99,https://cdna.pcpartpicker.com/static/forever/images/product/133882572a2ee61257384a359f502fb0.256p.jpg,420 W,700 VA,5
CyberPower PR3000LCD,,https://cdna.pcpartpicker.com/static/forever/images/product/3a33c960debb6b22918fb5c6eef8d3b3.256p.jpg,2700 W,3000 VA,0
