web_scraper_order,web_scraper_start_url,name,resolution,rating,price,operating_system,fov_angle,name3,connection,price2,focus_type,resolution2,connection2,focus_type2,operating_system2,fov_angle2,name2,name4
"1784223469-1","https://uk.pcpartpicker.com/products/webcam/","OBSBOT Tiny 3","Resolution4k, 1080p, 720p, 480p","(0)","Add","Operating SystemWindows, OS X","FOV Angle82.4°","(0)","ConnectionUSB 2.0 Type-C","Add","Focus TypeAuto","Resolution","Connection","Focus Type","Operating System","FOV Angle","https://cdna.pcpartpicker.com/static/forever/images/product/8353ad0d73dbc39a872a9dd34a242556.256p.jpg","https://cdna.pcpartpicker.com/static/forever/images/product/8353ad0d73dbc39a872a9dd34a242556.256p.jpg"
"1784223469-2","https://uk.pcpartpicker.com/products/webcam/","Logitech BRIO Ultra HD Pro","Resolution4k, 1080p, 720p","(31)","Add","Operating SystemWindows, OS X, ChromeOS","FOV Angle82°","(31)","ConnectionUSB 3.2 Gen 1 Type-A","Add","Focus TypeAuto","Resolution","Connection","Focus Type","Operating System","FOV Angle","https://cdna.pcpartpicker.com/static/forever/images/product/6c931846f8b1f5346a3700526272ea24.256p.jpg","https://cdna.pcpartpicker.com/static/forever/images/product/6c931846f8b1f5346a3700526272ea24.256p.jpg"
"1784223469-3","https://uk.pcpartpicker.com/products/webcam/","Logitech BRIO STREAM","Resolution4k, 1080p, 720p","(2)","£109.99Add","Operating SystemWindows, OS X, ChromeOS","FOV Angle90°","(2)","ConnectionUSB 3.2 Gen 1 Type-A","Add","Focus TypeAuto","Resolution","Connection","Focus Type","Operating System","FOV Angle","https://m.media-amazon.com/images/I/31wEKbWlm5L.jpg","https://m.media-amazon.com/images/I/31wEKbWlm5L.jpg"
"1784223469-4","https://uk.pcpartpicker.com/products/webcam/","Anker PowerConf C200","Resolution2k, 1080p, 720p","(5)","£39.97Add","Operating SystemWindows, OS X","FOV Angle95°","(5)","ConnectionUSB 3.2 Gen 1 Type-C","Add","Focus TypeAuto","Resolution","Connection","Focus Type","Operating System","FOV Angle","https://m.media-amazon.com/images/I/41rBxqhtMsL.jpg","https://m.media-amazon.com/images/I/41rBxqhtMsL.jpg"
"1784223469-5","https://uk.pcpartpicker.com/products/webcam/","UGREEN 65381","Resolution4k, 1080p","(1)","£29.95Add","Operating SystemWindows, OS X, Android","FOV Angle70°","(1)","ConnectionUSB 2.0 Type-A","Add","Focus TypeAuto","Resolution","Connection","Focus Type","Operating System","FOV Angle","https://m.media-amazon.com/images/I/41Gi7pAbINL.jpg","https://m.media-amazon.com/images/I/41Gi7pAbINL.jpg"
"1784223469-6","https://uk.pcpartpicker.com/products/webcam/","Elgato Facecam 4K","Resolution4k, 2k, 1080p, 720p","(0)","£190.99Add","Operating SystemWindows, OS X","FOV Angle90°","(0)","ConnectionUSB 3.2 Gen 1 Type-C","Add","Focus TypeFixed","Resolution","Connection","Focus Type","Operating System","FOV Angle","https://cdna.pcpartpicker.com/static/forever/images/product/fcb546952f33b450a2fe310c1ebfff5f.256p.jpg","https://cdna.pcpartpicker.com/static/forever/images/product/fcb546952f33b450a2fe310c1ebfff5f.256p.jpg"
"1784223469-7","https://uk.pcpartpicker.com/products/webcam/","Insta360 Link2 Pro","Resolution4k, 1080p, 720p","(0)","£239.00Add","Operating SystemWindows, OS X","FOV Angle83.9°","(0)","ConnectionUSB 2.0 Type-C","Add","Focus TypeAuto","Resolution","Connection","Focus Type","Operating System","FOV Angle","https://m.media-amazon.com/images/I/31IbNDWozJL.jpg","https://m.media-amazon.com/images/I/31IbNDWozJL.jpg"
"1784223469-8","https://uk.pcpartpicker.com/products/webcam/","Logitech C920 HD Pro","Resolution1080p, 720p","(31)","Add","Operating SystemWindows, OS X, ChromeOS, Android","FOV Angle78°","(31)","ConnectionUSB 2.0 Type-A","Add","Focus TypeAuto","Resolution","Connection","Focus Type","Operating System","FOV Angle","https://cdna.pcpartpicker.com/static/forever/images/product/c62b66e9b02a82a043c913ff5f43b4f4.256p.jpg","https://cdna.pcpartpicker.com/static/forever/images/product/c62b66e9b02a82a043c913ff5f43b4f4.256p.jpg"
"1784223469-9","https://uk.pcpartpicker.com/products/webcam/","Logitech C270","Resolution720p","(30)","£38.84Add","Operating SystemWindows, OS X, ChromeOS, Android","FOV Angle60°","(30)","ConnectionUSB 2.0 Type-A","Add","Focus TypeFixed","Resolution","Connection","Focus Type","Operating System","FOV Angle","https://cdna.pcpartpicker.com/static/forever/images/product/2ea46c5847b08c504b33b7d4c8ef39d7.256p.jpg","https://cdna.pcpartpicker.com/static/forever/images/product/2ea46c5847b08c504b33b7d4c8ef39d7.256p.jpg"
"1784223469-10","https://uk.pcpartpicker.com/products/webcam/","NexiGo N60","Resolution1080p","(2)","£27.19Add","Operating SystemWindows, OS X, Linux, ChromeOS, Android","FOV Angle110°","(2)","ConnectionUSB 2.0 Type-A","Add","Focus TypeFixed","Resolution","Connection","Focus Type","Operating System","FOV Angle","https://m.media-amazon.com/images/I/41tYb74YvaL.jpg","https://m.media-amazon.com/images/I/41tYb74YvaL.jpg"
