name,price,image,interface,color,rating
StarTech ST10GPEXNDPI,,https://cdna.pcpartpicker.com/static/forever/images/product/b4f19eef7fb7a2b7e10474d46f952cc5.256p.jpg,PCIe x4,Black / Silver,0
TP-Link TG-3468,10.99,https://cdna.pcpartpicker.com/static/forever/images/product/330081db022793485f64a34fc60dd6a7.256p.jpg,PCIe x1,,4.5
Asus XG-C100C,75.85,https://cdna.pcpartpicker.com/static/forever/images/product/61855427052066ed173d5f7dcfa0dd8c.256p.jpg,PCIe x4,,4.5
Intel X550-T2,109.86,https://cdna.pcpartpicker.com/static/forever/images/product/dffbd7ee141b241601d4e798fcf90ee8.256p.jpg,PCIe x4,,5
TP-Link TX201,23.47,https://cdna.pcpartpicker.com/static/forever/images/product/5a179aa8a9e73be02fc1fb6200da0c28.256p.jpg,PCIe x1,Black / Gold,4.5
Intel X540-T2,95,,PCIe x8,,5
TP-Link TX401,80,https://cdna.pcpartpicker.com/static/forever/images/product/e0cd246e9392dfc4df3c23e27bb400e9.256p.jpg,PCIe x4,Red,0
Intel X710-T2L,280.99,https://cdna.pcpartpicker.com/static/forever/images/product/910acc7d0c6d590129398aa69d80e057.256p.jpg,PCIe x8,Green / Black,0
Intel EXPI9301CTBLK,30.46,https://cdna.pcpartpicker.com/static/forever/images/product/33eaba5604cbc7eec9ee0e37fde23741.256p.jpg,PCIe x1,,4.5
TRENDnet TRENDnet TEG-10GECTX 10 Gigabit PCIe Network Adapter,109.99,https://cdna.pcpartpicker.com/static/forever/images/product/a28d0d58f3b5def7b5a3ff61c8797984.256p.jpg,PCIe x4,Green / Silver,0
Intel E610XT4,,https://cdna.pcpartpicker.com/static/forever/images/product/86926e7cc35ee3226a652f4193c6efd9.256p.jpg,PCIe x8,,0
Intel X540T1,,https://cdna.pcpartpicker.com/static/forever/images/product/acd586785100d39c2c602231fe3e06f6.256p.jpg,PCIe x8,Black / Green,0
TP-Link UE306,7.99,https://cdna.pcpartpicker.com/static/forever/images/product/e4d2ec5658c261b137e121959ec813c5.256p.jpg,USB Type-A 3.2 Gen 1,Black,0
Syba SD-PEX24066,31.99,,PCIe x1,Green / Black,0
D-Link DXE-820T,,https://cdna.pcpartpicker.com/static/forever/images/product/3bf3e23e89c59bc4a41091871fdc35e2.256p.jpg,PCIe x8,,0
Gigabyte GC-AQC107,,,PCIe x4,Black / White,4.5
Intel E1G44ET2BLK,300,https://cdna.pcpartpicker.com/static/forever/images/product/faf33f31b49233a8a77a7cb481672f5f.256p.jpg,PCIe x4,,0
StarTech ST10GSPEXNDP2,154.88,https://cdna.pcpartpicker.com/static/forever/images/product/2b873f6da88deb87ec6799513a859703.256p.jpg,PCIe x4,Black / Silver,0
Intel I226T1,73,https://cdna.pcpartpicker.com/static/forever/images/product/bc52eeec9d64fce44c94be7123200d9e.256p.jpg,PCIe x1,Green,0
Intel E1G42ETBLK,102.35,https://cdna.pcpartpicker.com/static/forever/images/product/b789aadd3d0e621f37765419d93f7c31.256p.jpg,PCIe x4,,4
QNAP QXG5G1T111C,,https://cdna.pcpartpicker.com/static/forever/images/product/5aa8234e236fe6b197863ab2354623d2.256p.jpg,PCIe x1,Blue / Silver,0
TRENDnet TEG-25GECTX,32.1,,PCIe x1,Blue,0
Monoprice 112909,17.21,,USB Type-C 3.2 Gen 2,White,0
StarTech ST10GSPEXNB2,105.76,,PCIe x2,Silver / Black,0
StarTech ST10000SPEXI,,https://cdna.pcpartpicker.com/static/forever/images/product/9732d6a171365f57af85dbdbfe81985f.256p.jpg,PCIe x4,Black / Silver,0
QNAP QXG2G2TI225,129.93,https://cdna.pcpartpicker.com/static/forever/images/product/ca7154084df22cd6b6a5032c8a705145.256p.jpg,PCIe x2,Green / Copper,0
Syba SI-PEX24042,69.99,https://cdna.pcpartpicker.com/static/forever/images/product/57d0622448d6f56b221bb81bb053423b.256p.jpg,PCIe x1,Green / Black,0
Asus USB-C2500,51.92,https://cdna.pcpartpicker.com/static/forever/images/product/2fff99a35b8408e5f3a1f6a31a0b4821.256p.jpg,USB Type-A 3.2 Gen 1,Gray,0
Intel X520-T2,,https://cdna.pcpartpicker.com/static/forever/images/product/9bb92d860044cbffa6f2456fe4683c11.256p.jpg,PCIe x8,Green / Black,0
StarTech ST1000SPEX2L,21.54,,PCIe x1,,0
SIIG LB-GE0311-S1,,,PCIe x8,Black / Green,0
StarTech ST1000SPEX4,,,PCIe x4,,0
StarTech ST2GPEX,29.72,https://cdna.pcpartpicker.com/static/forever/images/product/c948d04adacdc19f74577d2117f473d6.256p.jpg,PCIe x1,Black,0
Intel E1G44HTBLK,61.84,,PCIe x4,,0
Intel E1G44HT,,https://cdna.pcpartpicker.com/static/forever/images/product/27e70103d7a3d9ab2bd601743a918e5f.256p.jpg,PCIe x4,,0
QNAP QXG-10G1T,161.03,https://cdna.pcpartpicker.com/static/forever/images/product/d9ea9fd4f857e54e757f2274dc8fd109.256p.jpg,PCIe x4,,0
Syba SY-PEX24045,60.71,,PCIe x4,Green / Black,0
Belkin F5D5000,,,PCI,,0
TP-Link UE300,15.46,https://cdna.pcpartpicker.com/static/forever/images/product/97bdc5ef75505ff1b527d0b698e7e830.256p.jpg,USB Type-A 3.2 Gen 1,,0
Asus ROG AREION,,,PCIe x4,Black,0
Tripp Lite U436-06N-2P5,39.82,https://cdna.pcpartpicker.com/static/forever/images/product/d093981ce2733a22377a2f34b8c73658.256p.jpg,USB Type-C 3.2 Gen 1,Black,0
StarTech USB32000SPT,56.46,https://cdna.pcpartpicker.com/static/forever/images/product/6c38be9ef10f5d1d5ad3f02d04aa388c.256p.jpg,USB Type-A 3.2 Gen 1,,0
StarTech ST2000PEXPSE,103.93,,PCIe x1,,0
StarTech ST1000SPEX42,,,PCIe x4,,0
SIIG LB-GE0211-S1,,,PCIe x4,Green / Black,0
Intel EXPI9301CT,29.08,,PCIe x1,,4.5
Syba SY-HUB24047,,,USB Type-A 3.2 Gen 1,Black,0
StarTech ST1000SPEX2,21.06,,PCIe x1,,0
Intel E10G42BT,,,PCIe x8,,0
Intel EXPI9404PTLBLK-1PK,105.46,,PCIe x4,,5
Supermicro AOC-STG-i2T,,https://cdna.pcpartpicker.com/static/forever/images/product/e77399bf6404835dcb420550ab08066c.256p.jpg,PCIe x8,,0
