web_scraper_order,web_scraper_start_url,pagination,name,protocol,interface,rating,price,color,name3,price2,interface2,color2,protocol2,name2,name4
"1784222835-1","https://uk.pcpartpicker.com/products/wireless-network-card/","","Gigabyte GC-WBAX210","ProtocolWi-Fi 6E","InterfacePCIe x1","(13)","Out of stock£54.99Add","ColorBlack / Silver","(13)","Add","Interface","Color","Protocol","https://cdna.pcpartpicker.com/static/forever/images/product/196a734a1ce494985588b4b00f41aecc.256p.jpg","https://cdna.pcpartpicker.com/static/forever/images/product/196a734a1ce494985588b4b00f41aecc.256p.jpg"
"1784222835-2","https://uk.pcpartpicker.com/products/wireless-network-card/","","TP-Link Archer TBE550E","ProtocolWi-Fi 7","InterfacePCIe x1","(2)","£68.98Add","ColorBlack","(2)","Add","Interface","Color","Protocol","https://cdna.pcpartpicker.com/static/forever/images/product/42340a545b632c75680bddc29abd58e6.256p.jpg","https://cdna.pcpartpicker.com/static/forever/images/product/42340a545b632c75680bddc29abd58e6.256p.jpg"
"1784222835-3","https://uk.pcpartpicker.com/products/wireless-network-card/","","TP-Link ArcherTX20E","ProtocolWi-Fi 6","InterfacePCIe x1","(1)","£31.26Add","ColorBlack","(1)","Add","Interface","Color","Protocol","https://cdna.pcpartpicker.com/static/forever/images/product/09a52515da298c2cffe04bd000aabba2.256p.jpg","https://cdna.pcpartpicker.com/static/forever/images/product/09a52515da298c2cffe04bd000aabba2.256p.jpg"
"1784222835-4","https://uk.pcpartpicker.com/products/wireless-network-card/","","TP-Link Archer TX3000E","ProtocolWi-Fi 6","InterfacePCIe x1","(32)","£43.94Add","ColorRed / Black","(32)","Add","Interface","Color","Protocol","https://cdna.pcpartpicker.com/static/forever/images/product/b8816d8a7c895012f7398d6d2a4171f1.256p.jpg","https://cdna.pcpartpicker.com/static/forever/images/product/b8816d8a7c895012f7398d6d2a4171f1.256p.jpg"
"1784222835-5","https://uk.pcpartpicker.com/products/wireless-network-card/","","TP-Link Archer TX55E","ProtocolWi-Fi 6","InterfacePCIe x1","(19)","£38.52Add","Color","(19)","Add","Interface","Color","Protocol","https://m.media-amazon.com/images/I/311Y9W7zVcL.jpg","https://m.media-amazon.com/images/I/311Y9W7zVcL.jpg"
"1784222835-6","https://uk.pcpartpicker.com/products/wireless-network-card/","","MSI HERALD-BE WIFI 7 MAX","ProtocolWi-Fi 7","InterfacePCIe x1","(0)","Add","ColorBlack","(0)","Add","Interface","Color","Protocol","https://cdna.pcpartpicker.com/static/forever/images/product/84b5c7381b2fda537f819fd23177bf79.256p.jpg","https://cdna.pcpartpicker.com/static/forever/images/product/84b5c7381b2fda537f819fd23177bf79.256p.jpg"
"1784222835-7","https://uk.pcpartpicker.com/products/wireless-network-card/","","Intel AX210","ProtocolWi-Fi 6E","InterfaceM.2 PCIe","(5)","£28.25Add","ColorGreen","(5)","Add","Interface","Color","Protocol","https://cdna.pcpartpicker.com/static/forever/images/product/48b9cdc6e56d482ecf65f0e21a14c756.256p.jpg","https://cdna.pcpartpicker.com/static/forever/images/product/48b9cdc6e56d482ecf65f0e21a14c756.256p.jpg"
"1784222835-8","https://uk.pcpartpicker.com/products/wireless-network-card/","","TP-Link ARCHER T2U PLUS","ProtocolWi-Fi 5","InterfaceUSB Type-A 2.0","(24)","£15.48Add","ColorBlack","(24)","Add","Interface","Color","Protocol","https://cdna.pcpartpicker.com/static/forever/images/product/7ff171439242e62f10ceb9dcacd893ce.256p.jpg","https://cdna.pcpartpicker.com/static/forever/images/product/7ff171439242e62f10ceb9dcacd893ce.256p.jpg"
"1784222835-9","https://uk.pcpartpicker.com/products/wireless-network-card/","","Asus USB-AX56","ProtocolWi-Fi 6","InterfaceUSB Type-A 3.2 Gen 1","(0)","Out of stock£72.99Add","ColorBlack","(0)","Add","Interface","Color","Protocol","https://cdna.pcpartpicker.com/static/forever/images/product/bf7c3057b6f0c6af69bf33df50e6ecc3.256p.jpg","https://cdna.pcpartpicker.com/static/forever/images/product/bf7c3057b6f0c6af69bf33df50e6ecc3.256p.jpg"
"1784222835-10","https://uk.pcpartpicker.com/products/wireless-network-card/","","TP-Link Archer TBE400E","ProtocolWi-Fi 7","InterfacePCIe x1","(0)","£42.19Add","ColorBlack / Gold","(0)","Add","Interface","Color","Protocol","https://cdna.pcpartpicker.com/static/forever/images/product/c2bf9924264da083c2b024ca28cfbd75.256p.jpg","https://cdna.pcpartpicker.com/static/forever/images/product/c2bf9924264da083c2b024ca28cfbd75.256p.jpg"
"1784222835-11","https://uk.pcpartpicker.com/products/wireless-network-card/","","TP-Link Archer TXE72E","ProtocolWi-Fi 6E","InterfacePCIe x1","(2)","£42.99Add","Color","(2)","Add","Interface","Color","Protocol","https://cdna.pcpartpicker.com/static/forever/images/product/b4d2dd67129e8e7a45e7540bd27f6399.256p.jpg","https://cdna.pcpartpicker.com/static/forever/images/product/b4d2dd67129e8e7a45e7540bd27f6399.256p.jpg"
